insee_com,lib_com,niveau_ruralite
01140,Curtafond, Les ruralités résidentielles aisées
01141,Cuzieu, Les ruralités résidentielles mixtes
01142,Dagneux, Hors champ : DOM ou commune urbaine
01143,Divonne-les-Bains, Hors champ : DOM ou commune urbaine
01145,Dompierre-sur-Veyle, Les petites polarités mixtes
01146,Dompierre-sur-Chalaronne, Les ruralités résidentielles aisées
01147,Domsure, Les petites polarités industrielles et artisanales
01148,Dortan, Les petites polarités industrielles et artisanales
01149,Douvres, Les ruralités résidentielles aisées
01150,Drom, Les ruralités résidentielles aisées
01151,Druillat, Les ruralités résidentielles mixtes
01152,Échallon, Les ruralités résidentielles mixtes
01153,Échenevex, Hors champ : DOM ou commune urbaine
01155,Évosges, Les petites polarités industrielles et artisanales
01156,Faramans, Les ruralités résidentielles aisées
01157,Fareins, Les ruralités résidentielles aisées
01158,Farges, Les ruralités résidentielles aisées
01159,Feillens, Les petites polarités industrielles et artisanales
01160,Ferney-Voltaire, Hors champ : DOM ou commune urbaine
01162,Flaxieu, Les ruralités résidentielles mixtes
01163,Foissiat, Les ruralités résidentielles aisées
01165,Francheleins, Les ruralités résidentielles aisées
01166,Frans, Hors champ : DOM ou commune urbaine
01167,Garnerans, Les ruralités résidentielles mixtes
01169,Genouilleux, Hors champ : DOM ou commune urbaine
01170,Béard-Géovreissiat, Hors champ : DOM ou commune urbaine
01171,Géovreisset, Hors champ : DOM ou commune urbaine
01173,Gex, Hors champ : DOM ou commune urbaine
01174,Giron, Les ruralités touristiques spécialisées
01175,Gorrevod, Les ruralités résidentielles aisées
01177,Grand-Corent, Les ruralités productives ouvrières
01179,Grièges, Les ruralités résidentielles aisées
01180,Grilly, Les ruralités résidentielles aisées
01181,Groissiat, Les ruralités résidentielles aisées
01183,Guéreins, Hors champ : DOM ou commune urbaine
01184,Hautecourt-Romanèche, Les ruralités résidentielles mixtes
01185,Plateau d'Hauteville, Les petites polarités mixtes
01187,Haut Valromey, Commune dont le périmètre a changé depuis la réalisation de la typologie
01188,Illiat, Les ruralités résidentielles aisées
01189,Injoux-Génissiat, Les petites polarités industrielles et artisanales
01190,Innimond, Les ruralités touristiques à dominante résidentielle
01191,Izenave, Les ruralités résidentielles aisées
01192,Izernore, Les petites polarités industrielles et artisanales
01193,Izieu, Les ruralités résidentielles mixtes
01194,Jassans-Riottier, Hors champ : DOM ou commune urbaine
01195,Jasseron, Les ruralités résidentielles mixtes
01196,Jayat, Les ruralités résidentielles aisées
01197,Journans, Les ruralités résidentielles aisées
01198,Joyeux, Les ruralités résidentielles aisées
01199,Jujurieux, Les petites polarités mixtes
01200,Labalme, Les ruralités résidentielles aisées
01202,Lagnieu, Hors champ : DOM ou commune urbaine
01203,Laiz, Les petites polarités mixtes
01204,Le Poizat-Lalleyriat, Les ruralités résidentielles aisées
01206,Lantenay, Les ruralités résidentielles mixtes
01207,Lapeyrouse, Les ruralités résidentielles aisées
01208,Lavours, Les petites polarités mixtes
01209,Léaz, Les ruralités résidentielles aisées
01210,Lélex, Les ruralités touristiques spécialisées
01211,Lent, Les petites polarités mixtes
01212,Lescheroux, Les ruralités productives ouvrières
01213,Leyment, Les ruralités résidentielles mixtes
01214,Leyssard, Les ruralités résidentielles mixtes
01215,Surjoux-Lhopital, Les petites polarités mixtes
01216,Lhuis, Les ruralités productives agricoles
01219,Lompnas, Les ruralités touristiques à dominante résidentielle
01224,Loyettes, Hors champ : DOM ou commune urbaine
01225,Lurcy, Les ruralités résidentielles aisées
01227,Magnieu, Les ruralités résidentielles aisées
01228,Maillat, Les petites polarités industrielles et artisanales
01229,Malafretaz, Les ruralités résidentielles aisées
01230,Mantenay-Montlin, Les petites polarités industrielles et artisanales
01231,Manziat, Les ruralités résidentielles mixtes
01232,Marboz, Les ruralités résidentielles aisées
01233,Marchamp, Les ruralités touristiques à dominante résidentielle
01234,Marignieu, Les ruralités résidentielles mixtes
01235,Marlieux, Les ruralités résidentielles aisées
01236,Marsonnas, Les ruralités résidentielles aisées
01237,Martignat, Les petites polarités industrielles et artisanales
01238,Massieux, Hors champ : DOM ou commune urbaine
01239,Massignieu-de-Rives, Les ruralités résidentielles mixtes
01240,Matafelon-Granges, Les ruralités touristiques à dominante résidentielle
01241,Meillonnas, Les petites polarités mixtes
01242,Mérignat, Les ruralités productives ouvrières
01243,Messimy-sur-Saône, Les ruralités résidentielles aisées
01244,Meximieux, Hors champ : DOM ou commune urbaine
01245,Bohas-Meyriat-Rignat, Les ruralités résidentielles mixtes
01246,Mézériat, Les petites polarités industrielles et artisanales
01247,Mijoux, Les ruralités touristiques spécialisées
01248,Mionnay, Les ruralités résidentielles aisées
01249,Miribel, Hors champ : DOM ou commune urbaine
01250,Misérieux, Hors champ : DOM ou commune urbaine
01252,Mogneneins, Les ruralités résidentielles aisées
01254,Montagnat, Les ruralités résidentielles aisées
01255,Montagnieu, Les petites polarités mixtes
01257,Montanges, Les ruralités résidentielles aisées
01258,Montceaux, Les ruralités résidentielles aisées
01259,Montcet, Les ruralités résidentielles aisées
01260,Le Montellier, Les ruralités résidentielles aisées
01261,Monthieux, Les ruralités résidentielles aisées
01262,Montluel, Hors champ : DOM ou commune urbaine
01263,Montmerle-sur-Saône, Hors champ : DOM ou commune urbaine
01264,Montracol, Les ruralités résidentielles aisées
01265,Montréal-la-Cluse, Hors champ : DOM ou commune urbaine
01266,Montrevel-en-Bresse, Les ruralités touristiques spécialisées
01267,Nurieux-Volognat, Les petites polarités industrielles et artisanales
01268,Murs-et-Gélignieux, Les petites polarités mixtes
01269,Nantua, Les petites polarités industrielles et artisanales
01272,Neuville-les-Dames, Les ruralités résidentielles mixtes
01273,Neuville-sur-Ain, Les ruralités productives ouvrières
01274,Les Neyrolles, Les petites polarités industrielles et artisanales
01275,Neyron, Hors champ : DOM ou commune urbaine
01276,Niévroz, Les ruralités résidentielles aisées
01277,Nivollet-Montgriffon, Les ruralités productives ouvrières
01279,Oncieu, Les ruralités touristiques à dominante résidentielle
01280,Ordonnaz, Les petites polarités mixtes
01281,Ornex, Hors champ : DOM ou commune urbaine
01282,Outriaz, Les ruralités productives ouvrières
01283,Oyonnax, Hors champ : DOM ou commune urbaine
01284,Ozan, Les petites polarités mixtes
01285,Parcieux, Hors champ : DOM ou commune urbaine
01286,Parves et Nattages, Les ruralités résidentielles aisées
01288,Péron, Les ruralités résidentielles aisées
01289,Péronnas, Hors champ : DOM ou commune urbaine
01290,Pérouges, Les ruralités résidentielles aisées
01291,Perrex, Les ruralités résidentielles aisées
01293,Peyriat, Les ruralités résidentielles aisées
01294,Peyrieu, Les ruralités résidentielles mixtes
01295,Peyzieux-sur-Saône, Les ruralités résidentielles aisées
01296,Pirajoux, Les ruralités résidentielles aisées
01297,Pizay, Les ruralités résidentielles aisées
01298,Plagne, Les ruralités résidentielles aisées
01299,Le Plantay, Les ruralités résidentielles mixtes
01301,Polliat, Les ruralités résidentielles mixtes
01302,Pollieu, Les ruralités résidentielles mixtes
01303,Poncin, Les petites polarités industrielles et artisanales
01304,Pont-d'Ain, Les petites polarités industrielles et artisanales
01305,Pont-de-Vaux, Les ruralités touristiques spécialisées
01306,Pont-de-Veyle, Les petites polarités mixtes
01307,Port, Hors champ : DOM ou commune urbaine
01308,Pougny, Les ruralités résidentielles aisées
01309,Pouillat, Les ruralités productives ouvrières
01310,Prémeyzel, Les ruralités productives agricoles
01311,Prémillieu, Les ruralités touristiques à dominante résidentielle
01313,Prévessin-Moëns, Hors champ : DOM ou commune urbaine
01314,Priay, Les ruralités résidentielles aisées
01317,Ramasse, Les ruralités résidentielles aisées
01318,Rancé, Les ruralités résidentielles aisées
01319,Relevant, Les ruralités productives ouvrières
01320,Replonges, Les ruralités résidentielles aisées
01321,Revonnas, Les ruralités résidentielles aisées
01322,Reyrieux, Hors champ : DOM ou commune urbaine
01323,Reyssouze, Les petites polarités industrielles et artisanales
01325,Rignieux-le-Franc, Les ruralités résidentielles aisées
01328,Romans, Les petites polarités mixtes
01329,Rossillon, Les ruralités productives agricoles
01331,Saint-Alban, Les ruralités résidentielles aisées
01332,Saint-André-de-Bâgé, Les ruralités résidentielles aisées
01333,Saint-André-de-Corcy, Les petites polarités mixtes
01334,Saint-André-d'Huiriat, Les ruralités résidentielles mixtes
01335,Saint-André-le-Bouchoux, Les ruralités résidentielles aisées
01336,Saint-André-sur-Vieux-Jonc, Les petites polarités industrielles et artisanales
01337,Saint-Bénigne, Les ruralités résidentielles aisées
01338,Groslée-Saint-Benoit, Les ruralités productives ouvrières
01339,Saint-Bernard, Hors champ : DOM ou commune urbaine
01342,Sainte-Croix, Les ruralités résidentielles aisées
01343,Saint-Cyr-sur-Menthon, Les ruralités résidentielles aisées
01344,Saint-Denis-lès-Bourg, Hors champ : DOM ou commune urbaine
01345,Saint-Denis-en-Bugey, Hors champ : DOM ou commune urbaine
01346,Saint-Didier-d'Aussiat, Les ruralités résidentielles mixtes
01347,Saint-Didier-de-Formans, Hors champ : DOM ou commune urbaine
01348,Saint-Didier-sur-Chalaronne, Les petites polarités industrielles et artisanales
01349,Saint-Éloi, Les ruralités résidentielles aisées
01350,Saint-Étienne-du-Bois, Les petites polarités industrielles et artisanales
01351,Saint-Étienne-sur-Chalaronne, Les ruralités résidentielles aisées
01352,Saint-Étienne-sur-Reyssouze, Les petites polarités industrielles et artisanales
01353,Sainte-Euphémie, Hors champ : DOM ou commune urbaine
01354,Saint-Genis-Pouilly, Hors champ : DOM ou commune urbaine
01355,Saint-Genis-sur-Menthon, Les ruralités résidentielles aisées
01356,Saint-Georges-sur-Renon, Les ruralités productives ouvrières
01357,Saint-Germain-de-Joux, Les petites polarités mixtes
01358,Saint-Germain-les-Paroisses, Les ruralités touristiques à dominante résidentielle
01359,Saint-Germain-sur-Renon, Les ruralités résidentielles mixtes
01360,Saint-Jean-de-Gonville, Hors champ : DOM ou commune urbaine
01361,Saint-Jean-de-Niost, Les ruralités résidentielles aisées
01362,Saint-Jean-de-Thurigneux, Les ruralités résidentielles aisées
01363,Saint-Jean-le-Vieux, Les ruralités résidentielles aisées
01364,Saint-Jean-sur-Reyssouze, Les petites polarités industrielles et artisanales
01365,Saint-Jean-sur-Veyle, Les ruralités résidentielles aisées
01366,Sainte-Julie, Les ruralités résidentielles aisées
01367,Saint-Julien-sur-Reyssouze, Les ruralités résidentielles mixtes
01368,Saint-Julien-sur-Veyle, Les petites polarités industrielles et artisanales
01369,Saint-Just, Les ruralités résidentielles aisées
01370,Saint-Laurent-sur-Saône, Hors champ : DOM ou commune urbaine
01371,Saint-Marcel, Les petites polarités mixtes
01372,Saint-Martin-de-Bavel, Les petites polarités mixtes
01373,Saint-Martin-du-Frêne, Les ruralités productives ouvrières
01374,Saint-Martin-du-Mont, Les ruralités résidentielles aisées
01375,Saint-Martin-le-Châtel, Les ruralités résidentielles aisées
01376,Saint-Maurice-de-Beynost, Hors champ : DOM ou commune urbaine
01378,Saint-Maurice-de-Gourdans, Les ruralités résidentielles aisées
01379,Saint-Maurice-de-Rémens, Les ruralités résidentielles mixtes
01380,Saint-Nizier-le-Bouchoux, Les ruralités productives agricoles
01381,Saint-Nizier-le-Désert, Les ruralités résidentielles mixtes
01382,Sainte-Olive, Les ruralités résidentielles aisées
01383,Saint-Paul-de-Varax, Les petites polarités mixtes
01384,Saint-Rambert-en-Bugey, Les petites polarités industrielles et artisanales
01385,Saint-Rémy, Les ruralités résidentielles aisées
01386,Saint-Sorlin-en-Bugey, Hors champ : DOM ou commune urbaine
01387,Saint-Sulpice, Les ruralités résidentielles aisées
01388,Saint-Trivier-de-Courtes, Les petites polarités industrielles et artisanales
01389,Saint-Trivier-sur-Moignans, Les petites polarités industrielles et artisanales
01390,Saint-Vulbas, Les ruralités résidentielles aisées
01391,Salavre, Les ruralités productives ouvrières
01392,Samognat, Les ruralités résidentielles mixtes
01393,Sandrans, Les ruralités résidentielles aisées
01396,Sault-Brénaz, Les petites polarités industrielles et artisanales
01397,Sauverny, Hors champ : DOM ou commune urbaine
01398,Savigneux, Les ruralités résidentielles aisées
01399,Ségny, Hors champ : DOM ou commune urbaine
01400,Seillonnaz, Les ruralités productives agricoles
01401,Sergy, Hors champ : DOM ou commune urbaine
01402,Sermoyer, Les ruralités productives agricoles
01403,Serrières-de-Briord, Les petites polarités mixtes
01404,Serrières-sur-Ain, Les ruralités touristiques à dominante résidentielle
01405,Servas, Les petites polarités industrielles et artisanales
01406,Servignat, Les ruralités productives agricoles
01407,Seyssel, Les petites polarités mixtes
01408,Simandre-sur-Suran, Les ruralités productives ouvrières
