insee_com,lib_com,niveau_ruralite
22278,Saint-Brieuc, Hors champ : DOM ou commune urbaine
22279,Saint-Caradec, Les petites polarités industrielles et artisanales
22280,Saint-Carné, Les ruralités résidentielles aisées
22281,Saint-Carreuc, Les ruralités résidentielles mixtes
22282,Saint-Cast-le-Guildo, Les ruralités touristiques spécialisées
22283,Saint-Clet, Les petites polarités mixtes
22284,Saint-Connan, Les ruralités productives agricoles
22285,Saint-Connec, Les ruralités productives agricoles
22286,Saint-Denoual, Les ruralités résidentielles aisées
22287,Saint-Donan, Les ruralités résidentielles aisées
22288,Saint-Étienne-du-Gué-de-l'Isle, Les ruralités productives agricoles
22289,Saint-Fiacre, Les ruralités productives ouvrières
22291,Saint-Gildas, Les ruralités productives agricoles
22293,Saint-Gilles-les-Bois, Les petites polarités mixtes
22294,Saint-Gilles-Pligeaux, Les ruralités productives agricoles
22295,Saint-Gilles-Vieux-Marché, Les ruralités productives agricoles
22296,Saint-Glen, Les ruralités productives ouvrières
22299,Saint-Hélen, Les ruralités résidentielles aisées
22300,Saint-Hervé, Les ruralités productives ouvrières
22302,Saint-Jacut-de-la-Mer, Les ruralités touristiques spécialisées
22304,Saint-Jean-Kerdaniel, Les petites polarités mixtes
22305,Saint-Jouan-de-l'Isle, Les ruralités productives ouvrières
22306,Saint-Judoce, Les ruralités productives agricoles
22307,Saint-Julien, Les ruralités résidentielles mixtes
22308,Saint-Juvat, Les ruralités productives agricoles
22310,Saint-Laurent, Les ruralités résidentielles aisées
22311,Saint-Lormel, Les ruralités productives agricoles
22312,Saint-Maden, Les ruralités productives agricoles
22313,Saint-Martin-des-Prés, Les ruralités productives agricoles
22314,Saint-Maudan, Les petites polarités mixtes
22315,Saint-Maudez, Les ruralités résidentielles mixtes
22316,Saint-Mayeux, Les ruralités productives agricoles
22317,Saint-Méloir-des-Bois, Les ruralités productives ouvrières
22318,Saint-Michel-de-Plélan, Les ruralités productives agricoles
22319,Saint-Michel-en-Grève, Les ruralités touristiques à dominante résidentielle
22320,Saint-Nicodème, Les ruralités productives agricoles
22321,Saint-Nicolas-du-Pélem, Les petites polarités industrielles et artisanales
22322,Saint-Péver, Les ruralités productives ouvrières
22323,Saint-Pôtan, Les ruralités productives agricoles
22324,Saint-Quay-Perros, Hors champ : DOM ou commune urbaine
22325,Saint-Quay-Portrieux, Hors champ : DOM ou commune urbaine
22326,Saint-Rieul, Les ruralités résidentielles aisées
22327,Saint-Samson-sur-Rance, Les petites polarités mixtes
22328,Saint-Servais, Les ruralités productives agricoles
22330,Saint-Thélo, Les ruralités productives agricoles
22331,Sainte-Tréphine, Les petites polarités mixtes
22332,Saint-Trimoël, Les ruralités résidentielles mixtes
22333,Saint-Vran, Les petites polarités mixtes
22334,Saint-Igeaux, Les ruralités productives agricoles
22335,Senven-Léhart, Les ruralités productives agricoles
22337,Sévignac, Les ruralités productives ouvrières
22338,Squiffiec, Les ruralités productives ouvrières
22339,Taden, Les petites polarités industrielles et artisanales
22340,Tonquédec, Les ruralités résidentielles mixtes
22341,Tramain, Les ruralités productives agricoles
22342,Trébédan, Les petites polarités mixtes
22343,Trébeurden, Les ruralités touristiques spécialisées
22344,Trébrivan, Les petites polarités mixtes
22345,Trébry, Les ruralités productives agricoles
22346,Trédaniel, Les ruralités productives ouvrières
22347,Trédarzec, Les ruralités productives agricoles
22348,Trédias, Les ruralités productives agricoles
22349,Trédrez-Locquémeau, Les ruralités touristiques spécialisées
22350,Tréduder, Les ruralités touristiques à dominante résidentielle
22351,Treffrin, Les ruralités productives agricoles
22352,Tréfumel, Les petites polarités mixtes
22353,Trégastel, Hors champ : DOM ou commune urbaine
22354,Tréglamus, Les ruralités productives ouvrières
22356,Trégomeur, Les ruralités résidentielles mixtes
22358,Trégonneau, Les ruralités résidentielles mixtes
22359,Trégrom, Les ruralités productives agricoles
22360,Trégueux, Hors champ : DOM ou commune urbaine
22361,Tréguidel, Les ruralités productives ouvrières
22362,Tréguier, Les petites polarités mixtes
22363,Trélévern, Les ruralités touristiques spécialisées
22364,Trélivan, Les ruralités résidentielles aisées
22365,Trémargat, Les ruralités résidentielles aisées
22366,Trémel, Les ruralités productives agricoles
22368,Tréméreuc, Les ruralités résidentielles mixtes
22369,Trémeur, Les ruralités productives ouvrières
22370,Tréméven, Les ruralités touristiques à dominante résidentielle
22371,Trémorel, Les petites polarités industrielles et artisanales
22372,Trémuson, Les petites polarités mixtes
22373,Tréogan, Les ruralités productives agricoles
22375,Tressignaux, Les petites polarités mixtes
22376,Trévé, Les ruralités résidentielles aisées
22377,Tréveneuc, Les ruralités touristiques spécialisées
22378,Trévérec, Les ruralités productives agricoles
22379,Trévou-Tréguignec, Les ruralités touristiques spécialisées
22380,Trévron, Les ruralités productives ouvrières
22381,Trézény, Les ruralités résidentielles aisées
22383,Troguéry, Les ruralités productives agricoles
22384,Uzel, Les ruralités productives agricoles
22385,La Vicomté-sur-Rance, Les petites polarités mixtes
22386,Le Vieux-Bourg, Les ruralités résidentielles aisées
22387,Le Vieux-Marché, Les petites polarités mixtes
22388,Vildé-Guingalan, Les petites polarités industrielles et artisanales
22389,Yffiniac, Hors champ : DOM ou commune urbaine
22390,Yvias, Les petites polarités mixtes
22391,Yvignac-la-Tour, Les petites polarités mixtes
23001,Ahun, Les petites polarités mixtes
23002,Ajain, Les petites polarités mixtes
23003,Alleyrat, Les ruralités productives ouvrières
23004,Anzême, Les ruralités productives ouvrières
23005,Arfeuille-Châtain, Les ruralités productives agricoles
23006,Arrènes, Les ruralités productives agricoles
23007,Ars, Les ruralités productives agricoles
23008,Aubusson, Les petites polarités industrielles et artisanales
23009,Auge, Les ruralités productives agricoles
23010,Augères, Les ruralités productives agricoles
23011,Aulon, Les ruralités productives agricoles
23012,Auriat, Les ruralités touristiques spécialisées
23013,Auzances, Les petites polarités mixtes
23014,Azat-Châtenet, Les ruralités productives agricoles
23015,Azerables, Les ruralités productives agricoles
23016,Banize, Les ruralités touristiques à dominante résidentielle
23017,Basville, Les ruralités productives agricoles
23018,Bazelat, Les ruralités productives agricoles
23019,Beissat, Les ruralités touristiques spécialisées
23020,Bellegarde-en-Marche, Les ruralités productives agricoles
23021,Bénévent-l'Abbaye, Les petites polarités industrielles et artisanales
23022,Bétête, Les ruralités productives agricoles
23024,Blessac, Les petites polarités industrielles et artisanales
23025,Bonnat, Les petites polarités mixtes
23026,Bord-Saint-Georges, Les ruralités productives agricoles
23027,Bosmoreau-les-Mines, Les ruralités productives agricoles
23028,Bosroger, Les ruralités productives ouvrières
23029,Le Bourg-d'Hem, Les ruralités productives agricoles
23030,Bourganeuf, Les petites polarités mixtes
23031,Boussac, Les petites polarités industrielles et artisanales
23032,Boussac-Bourg, Les ruralités productives agricoles
23033,La Brionne, Les ruralités productives ouvrières
23034,Brousse, Les ruralités résidentielles aisées
23035,Budelière, Les ruralités productives agricoles
23036,Bussière-Dunoise, Les ruralités productives agricoles
23037,Bussière-Nouvelle, Les ruralités productives agricoles
23038,Bussière-Saint-Georges, Les ruralités productives agricoles
23039,La Celle-Dunoise, Les ruralités productives agricoles
23040,La Celle-sous-Gouzon, Les ruralités productives agricoles
23041,La Cellette, Les ruralités productives agricoles
23042,Ceyroux, Les ruralités productives ouvrières
23043,Chamberaud, Les ruralités résidentielles mixtes
23044,Chambon-Sainte-Croix, Les ruralités productives agricoles
23045,Chambon-sur-Voueize, Les ruralités productives agricoles
23046,Chambonchard, Les ruralités productives agricoles
23047,Chamborand, Les ruralités productives agricoles
23048,Champagnat, Les ruralités touristiques à dominante résidentielle
23049,Champsanglard, Les petites polarités mixtes
23050,La Chapelle-Baloue, Les ruralités productives agricoles
23051,La Chapelle-Saint-Martial, Les ruralités productives agricoles
23052,La Chapelle-Taillefert, Les ruralités résidentielles mixtes
23053,Chard, Les ruralités productives agricoles
23054,Charron, Les ruralités productives agricoles
23055,Châtelard, Les ruralités touristiques à dominante résidentielle
23056,Châtelus-le-Marcheix, Les ruralités touristiques à dominante résidentielle
23057,Châtelus-Malvaleix, Les petites polarités mixtes
23058,Le Chauchet, Les ruralités productives agricoles
23059,La Chaussade, Les ruralités productives agricoles
23060,Chavanat, Les ruralités productives agricoles
23061,Chénérailles, Les petites polarités mixtes
23062,Chéniers, Les petites polarités industrielles et artisanales
23063,Clairavaux, Les ruralités productives agricoles
23064,Clugnat, Les ruralités productives agricoles
23065,Colondannes, Les ruralités productives agricoles
23066,Le Compas, Les ruralités productives agricoles
23067,La Courtine, Les ruralités productives agricoles
23068,Cressat, Les ruralités productives agricoles
23069,Crocq, Les ruralités productives agricoles
23070,Crozant, Les petites polarités mixtes
23071,Croze, Les ruralités touristiques spécialisées
23072,Domeyrot, Les ruralités productives agricoles
23073,Dontreix, Les ruralités productives agricoles
23074,Le Donzeil, Les ruralités productives agricoles
23075,Dun-le-Palestel, Les petites polarités mixtes
23076,Évaux-les-Bains, Les petites polarités mixtes
23077,Faux-la-Montagne, Les ruralités touristiques spécialisées
23078,Faux-Mazuras, Les ruralités productives agricoles
23079,Felletin, Les petites polarités mixtes
23080,Féniers, Les ruralités touristiques à dominante résidentielle
23081,Flayat, Les ruralités touristiques à dominante résidentielle
23082,Fleurat, Les petites polarités mixtes
23083,Fontanières, Les petites polarités industrielles et artisanales
23084,La Forêt-du-Temple, Les petites polarités industrielles et artisanales
23086,Fransèches, Les ruralités touristiques à dominante résidentielle
23087,Fresselines, Les ruralités touristiques à dominante résidentielle
23088,Gartempe, Les ruralités productives agricoles
23089,Genouillac, Les petites polarités industrielles et artisanales
23090,Gentioux-Pigerolles, Les ruralités productives agricoles
23091,Gioux, Les ruralités touristiques à dominante résidentielle
23092,Glénic, Les ruralités productives agricoles
23093,Gouzon, Les petites polarités mixtes
23095,Le Grand-Bourg, Les petites polarités mixtes
23096,Guéret, Hors champ : DOM ou commune urbaine
23097,Issoudun-Létrieix, Les petites polarités mixtes
23098,Jalesches, Les ruralités productives agricoles
23099,Janaillat, Les ruralités productives agricoles
23100,Jarnages, Les petites polarités industrielles et artisanales
23101,Jouillat, Les ruralités productives agricoles
23102,Ladapeyre, Les ruralités productives agricoles
23103,Lafat, Les ruralités productives agricoles
23104,Lavaufranche, Les ruralités productives agricoles
23105,Lavaveix-les-Mines, Les petites polarités industrielles et artisanales
23106,Lépaud, Les ruralités productives agricoles
23107,Lépinas, Les ruralités productives agricoles
23108,Leyrat, Les ruralités productives agricoles
23109,Linard-Malval, Les ruralités productives agricoles
23110,Lioux-les-Monges, Les ruralités touristiques à dominante résidentielle
23111,Lizières, Les ruralités productives agricoles
23112,Lourdoueix-Saint-Pierre, Les ruralités productives agricoles
23113,Lupersat, Les ruralités productives agricoles
23114,Lussat, Les ruralités productives agricoles
23115,Magnat-l'Étrange, Les ruralités productives agricoles
23116,Mainsat, Les ruralités productives agricoles
23117,Maison-Feyne, Les ruralités productives agricoles
23118,Maisonnisses, Les ruralités productives agricoles
23119,Malleret, Les petites polarités mixtes
23120,Malleret-Boussac, Les ruralités productives agricoles
23122,Mansat-la-Courrière, Les ruralités productives agricoles
23123,Les Mars, Les petites polarités industrielles et artisanales
23124,Marsac, Les ruralités productives agricoles
23125,Le Mas-d'Artige, Les ruralités productives agricoles
23127,Mautes, Les ruralités productives agricoles
23128,Mazeirat, Les ruralités productives agricoles
23129,La Mazière-aux-Bons-Hommes, Les ruralités productives agricoles
23130,Méasnes, Les ruralités productives agricoles
23131,Mérinchal, Les petites polarités industrielles et artisanales
23132,Montaigut-le-Blanc, Les ruralités productives agricoles
23133,Montboucher, Les ruralités productives agricoles
23134,Le Monteil-au-Vicomte, Les petites polarités mixtes
23136,Mortroux, Les ruralités productives agricoles
23137,Mourioux-Vieilleville, Les ruralités productives agricoles
23138,Moutier-d'Ahun, Les ruralités productives agricoles
23139,Moutier-Malcard, Les ruralités touristiques à dominante résidentielle
23140,Moutier-Rozeille, Les petites polarités mixtes
23141,Naillat, Les ruralités productives agricoles
23142,Néoux, Les ruralités productives agricoles
23143,Noth, Les ruralités productives agricoles
23144,La Nouaille, Les ruralités touristiques à dominante résidentielle
23145,Nouhant, Les ruralités productives agricoles
23146,Nouzerines, Les ruralités productives agricoles
23147,Nouzerolles, Les ruralités productives agricoles
23148,Nouziers, Les ruralités productives agricoles
23149,Parsac, Commune dont le périmètre a changé depuis la réalisation de la typologie
23150,Peyrabout, Les ruralités touristiques à dominante résidentielle
23151,Peyrat-la-Nonière, Les ruralités productives agricoles
23152,Pierrefitte, Les ruralités productives agricoles
23154,Pionnat, Les ruralités productives ouvrières
23155,Pontarion, Les petites polarités mixtes
23156,Pontcharraud, Les ruralités productives agricoles
23157,La Pouge, Les ruralités productives agricoles
23158,Poussanges, Les ruralités productives agricoles
23159,Puy-Malsignat, Les ruralités productives agricoles
23160,Reterre, Les ruralités productives agricoles
23162,Roches, Les ruralités productives agricoles
23164,Rougnat, Les ruralités touristiques à dominante résidentielle
23165,Royère-de-Vassivière, Les ruralités touristiques spécialisées
23166,Sagnat, Les ruralités productives agricoles
23167,Sannat, Les ruralités productives agricoles
23168,Sardent, Les ruralités productives agricoles
23169,La Saunière, Les ruralités résidentielles mixtes
23170,Savennes, Les ruralités résidentielles mixtes
23171,Sermur, Les ruralités productives agricoles
23172,La Serre-Bussière-Vieille, Les ruralités productives agricoles
23173,Soubrebost, Les ruralités productives agricoles
23174,Soumans, Les ruralités productives agricoles
23175,Sous-Parsat, Les petites polarités mixtes
23176,La Souterraine, Les petites polarités mixtes
23177,Saint-Agnant-de-Versillat, Les ruralités productives agricoles
23178,Saint-Agnant-près-Crocq, Les ruralités productives agricoles
23179,Saint-Alpinien, Les ruralités productives agricoles
23180,Saint-Amand, Les ruralités productives ouvrières
23181,Saint-Amand-Jartoudeix, Les ruralités productives agricoles
23182,Saint-Avit-de-Tardes, Les ruralités productives agricoles
23183,Saint-Avit-le-Pauvre, Les ruralités productives agricoles
23184,Saint-Bard, Les petites polarités industrielles et artisanales
23185,Saint-Chabrais, Les ruralités productives agricoles
23186,Saint-Christophe, Les ruralités productives agricoles
23187,Saint-Dizier-la-Tour, Les ruralités productives agricoles
23188,Saint-Dizier-les-Domaines, Les ruralités productives agricoles
23189,Saint-Dizier-Masbaraud, Les ruralités productives agricoles
23190,Saint-Domet, Les ruralités productives agricoles
23191,Saint-Éloi, Les ruralités productives agricoles
23192,Fursac, Les ruralités productives agricoles
23193,Sainte-Feyre, Les ruralités résidentielles mixtes
23194,Sainte-Feyre-la-Montagne, Les ruralités productives agricoles
23195,Saint-Fiel, Les ruralités résidentielles mixtes
23196,Saint-Frion, Les ruralités productives agricoles
23197,Saint-Georges-la-Pouge, Les ruralités productives agricoles
23198,Saint-Georges-Nigremont, Les ruralités productives agricoles
23199,Saint-Germain-Beaupré, Les ruralités productives ouvrières
23200,Saint-Goussaud, Les ruralités touristiques à dominante résidentielle
23201,Saint-Hilaire-la-Plaine, Les ruralités productives agricoles
23202,Saint-Hilaire-le-Château, Les ruralités productives agricoles
23203,Saint-Julien-la-Genête, Les ruralités productives agricoles
23204,Saint-Julien-le-Châtel, Les ruralités productives agricoles
23205,Saint-Junien-la-Bregère, Les ruralités touristiques à dominante résidentielle
23206,Saint-Laurent, Les ruralités résidentielles aisées
23207,Saint-Léger-Bridereix, Les ruralités productives agricoles
23208,Saint-Léger-le-Guérétois, Les ruralités productives ouvrières
23209,Saint-Loup, Les ruralités productives agricoles
23210,Saint-Maixant, Les ruralités productives agricoles
23211,Saint-Marc-à-Frongier, Les ruralités touristiques à dominante résidentielle
23212,Saint-Marc-à-Loubaud, Les ruralités touristiques à dominante résidentielle
23213,Saint-Marien, Les ruralités productives agricoles
23214,Saint-Martial-le-Mont, Les petites polarités industrielles et artisanales
23215,Saint-Martial-le-Vieux, Les ruralités touristiques à dominante résidentielle
23216,Saint-Martin-Château, Les ruralités touristiques à dominante résidentielle
23217,Saint-Martin-Sainte-Catherine, Les ruralités productives agricoles
23218,Saint-Maurice-près-Crocq, Les ruralités productives agricoles
23219,Saint-Maurice-la-Souterraine, Les ruralités productives agricoles
23220,Saint-Médard-la-Rochette, Les ruralités productives agricoles
23221,Saint-Merd-la-Breuille, Les ruralités productives agricoles
23222,Saint-Michel-de-Veisse, Les petites polarités industrielles et artisanales
23223,Saint-Moreil, Les ruralités productives agricoles
23224,Saint-Oradoux-de-Chirouze, Les ruralités touristiques spécialisées
23225,Saint-Oradoux-près-Crocq, Les ruralités productives agricoles
23226,Saint-Pardoux-d'Arnet, Les ruralités productives agricoles
23227,Saint-Pardoux-Morterolles, Les ruralités touristiques à dominante résidentielle
23228,Saint-Pardoux-le-Neuf, Les ruralités productives ouvrières
23229,Saint-Pardoux-les-Cards, Les ruralités productives agricoles
23230,Saint-Pierre-Chérignat, Les ruralités productives agricoles
23232,Saint-Pierre-Bellevue, Les ruralités productives agricoles
23233,Saint-Pierre-le-Bost, Les ruralités productives agricoles
23234,Saint-Priest, Les ruralités productives agricoles
23235,Saint-Priest-la-Feuille, Les petites polarités mixtes
23236,Saint-Priest-la-Plaine, Les ruralités productives agricoles
23237,Saint-Priest-Palus, Les ruralités productives agricoles
23238,Saint-Quentin-la-Chabanne, Les ruralités productives agricoles
23239,Saint-Sébastien, Les ruralités productives agricoles
23240,Saint-Silvain-Bas-le-Roc, Les ruralités productives agricoles
23241,Saint-Silvain-Bellegarde, Les ruralités productives agricoles
23242,Saint-Silvain-Montaigut, Les ruralités productives ouvrières
23243,Saint-Silvain-sous-Toulx, Les ruralités productives agricoles
23244,Saint-Sulpice-le-Dunois, Les ruralités productives agricoles
23245,Saint-Sulpice-le-Guérétois, Les petites polarités industrielles et artisanales
23246,Saint-Sulpice-les-Champs, Les ruralités productives agricoles
23247,Saint-Vaury, Les petites polarités mixtes
23248,Saint-Victor-en-Marche, Les ruralités productives ouvrières
23249,Saint-Yrieix-la-Montagne, Les ruralités productives agricoles
23250,Saint-Yrieix-les-Bois, Les ruralités productives agricoles
23251,Tardes, Les ruralités productives agricoles
23252,Tercillat, Les ruralités productives agricoles
23253,Thauron, Les ruralités touristiques à dominante résidentielle
23254,Toulx-Sainte-Croix, Les ruralités productives agricoles
23255,Trois-Fonds, Les ruralités productives agricoles
23257,Vallière, Les ruralités touristiques à dominante résidentielle
23258,Vareilles, Les ruralités productives agricoles
23259,Verneiges, Les ruralités résidentielles aisées
23260,Vidaillat, Les ruralités touristiques à dominante résidentielle
23261,Viersat, Les ruralités productives agricoles
23262,Vigeville, Les ruralités productives ouvrières
23263,Villard, Les ruralités productives agricoles
23264,La Villedieu, Les ruralités touristiques à dominante résidentielle
23265,La Villeneuve, Les ruralités productives agricoles
23266,La Villetelle, Les ruralités productives agricoles
24001,Abjat-sur-Bandiat, Les ruralités touristiques à dominante résidentielle
24002,Agonac, Les ruralités résidentielles mixtes
24004,Ajat, Les ruralités touristiques à dominante résidentielle
24005,Alles-sur-Dordogne, Les ruralités touristiques à dominante résidentielle
24006,Allas-les-Mines, Les ruralités productives agricoles
24007,Allemans, Les ruralités touristiques à dominante résidentielle
24008,Angoisse, Les ruralités productives agricoles
24009,Anlhiac, Les petites polarités industrielles et artisanales
24010,Annesse-et-Beaulieu, Les petites polarités mixtes
24011,Antonne-et-Trigonant, Les ruralités résidentielles mixtes
24012,Archignac, Les ruralités touristiques à dominante résidentielle
24014,Aubas, Les ruralités productives agricoles
24015,Audrix, Les ruralités touristiques à dominante résidentielle
24016,Augignac, Les ruralités productives agricoles
24018,Auriac-du-Périgord, Les ruralités productives agricoles
24019,Azerat, Les ruralités touristiques à dominante résidentielle
24020,La Bachellerie, Les petites polarités mixtes
24021,Badefols-d'Ans, Les ruralités productives agricoles
24022,Badefols-sur-Dordogne, Les ruralités productives agricoles
24023,Baneuil, Les petites polarités industrielles et artisanales
24024,Bardou, Les ruralités touristiques à dominante résidentielle
24025,Bars, Les ruralités productives agricoles
24026,Bassillac et Auberoche, Les ruralités résidentielles mixtes
24027,Bayac, Les ruralités productives agricoles
24028,Beaumontois en Périgord, Les petites polarités mixtes
24029,Beaupouyet, Les ruralités productives agricoles
24030,Beauregard-de-Terrasson, Les petites polarités mixtes
24031,Beauregard-et-Bassac, Les ruralités productives agricoles
24032,Beauronne, Les ruralités productives agricoles
24034,Beleymas, Les ruralités productives agricoles
24035,Pays de Belvès, Les ruralités touristiques spécialisées
24036,Berbiguières, Les ruralités touristiques à dominante résidentielle
24037,Bergerac, Hors champ : DOM ou commune urbaine
24038,Bertric-Burée, Les ruralités productives ouvrières
24039,Besse, Les ruralités productives agricoles
24040,Beynac-et-Cazenac, Les ruralités touristiques à dominante résidentielle
24042,Biras, Les ruralités résidentielles aisées
24043,Biron, Les ruralités touristiques à dominante résidentielle
24045,Boisse, Les ruralités touristiques à dominante résidentielle
24046,Boisseuilh, Les ruralités productives agricoles
24048,Bonneville-et-Saint-Avit-de-Fumadières, Les ruralités productives ouvrières
24050,Borrèze, Les ruralités touristiques à dominante résidentielle
24051,Bosset, Les petites polarités mixtes
24052,Bouillac, Les ruralités touristiques à dominante résidentielle
24053,Boulazac Isle Manoire, Les ruralités touristiques spécialisées
24054,Bouniagues, Les ruralités résidentielles aisées
24055,Bourdeilles, Les ruralités productives agricoles
24056,Le Bourdeix, Les ruralités productives agricoles
24057,Bourg-des-Maisons, Les ruralités productives agricoles
24058,Bourg-du-Bost, Les ruralités productives agricoles
24059,Bourgnac, Les ruralités productives agricoles
24060,Bourniquel, Les ruralités touristiques à dominante résidentielle
24061,Bourrou, Les ruralités productives agricoles
24062,Bouteilles-Saint-Sébastien, Les ruralités touristiques à dominante résidentielle
24063,Bouzic, Les ruralités touristiques spécialisées
24064,Brantôme en Périgord, Les ruralités touristiques spécialisées
24066,Brouchaud, Les ruralités touristiques à dominante résidentielle
24067,Le Bugue, Les ruralités touristiques spécialisées
24068,Le Buisson-de-Cadouin, Les ruralités touristiques à dominante résidentielle
24069,Bussac, Les petites polarités mixtes
24070,Busserolles, Les ruralités productives agricoles
24071,Bussière-Badil, Les ruralités productives agricoles
24073,Calès, Les ruralités touristiques à dominante résidentielle
24074,Calviac-en-Périgord, Les ruralités productives ouvrières
24075,Campagnac-lès-Quercy, Les ruralités touristiques à dominante résidentielle
24076,Campagne, Les petites polarités mixtes
24077,Campsegret, Les ruralités productives agricoles
24080,Capdrot, Les ruralités productives agricoles
24081,Carlux, Les ruralités productives agricoles
24082,Carsac-Aillac, Les ruralités touristiques spécialisées
24083,Carsac-de-Gurson, Les ruralités productives agricoles
24084,Carves, Les ruralités touristiques à dominante résidentielle
24085,La Cassagne, Les ruralités touristiques à dominante résidentielle
24086,Castelnaud-la-Chapelle, Les ruralités touristiques spécialisées
24087,Castels et Bézenac, Les ruralités touristiques à dominante résidentielle
24088,Cause-de-Clérans, Les petites polarités industrielles et artisanales
24090,Celles, Les ruralités productives agricoles
24091,Cénac-et-Saint-Julien, Les ruralités touristiques à dominante résidentielle
24094,Chalagnac, Les ruralités productives ouvrières
24095,Chalais, Les ruralités productives agricoles
24096,Champagnac-de-Belair, Les petites polarités industrielles et artisanales
24097,Champagne-et-Fontaine, Les ruralités productives agricoles
24098,Champcevinel, Hors champ : DOM ou commune urbaine
24100,Champniers-et-Reilhac, Les ruralités productives agricoles
24101,Champs-Romain, Les ruralités productives agricoles
24102,Chancelade, Hors champ : DOM ou commune urbaine
24104,Chantérac, Les ruralités productives agricoles
24105,Chapdeuil, Les ruralités productives agricoles
24106,La Chapelle-Aubareil, Les ruralités touristiques à dominante résidentielle
24107,La Chapelle-Faucher, Les ruralités productives ouvrières
24108,La Chapelle-Gonaguet, Les ruralités résidentielles mixtes
24109,La Chapelle-Grésignac, Les ruralités productives agricoles
24110,La Chapelle-Montabourlet, Les ruralités productives agricoles
24111,La Chapelle-Montmoreau, Les ruralités productives agricoles
24113,La Chapelle-Saint-Jean, Les ruralités touristiques à dominante résidentielle
24114,Chassaignes, Les ruralités productives agricoles
24115,Château-l'Évêque, Les ruralités résidentielles mixtes
24116,Châtres, Les ruralités productives agricoles
24117,Les Coteaux Périgourdins, Les ruralités productives ouvrières
24119,Cherval, Les ruralités productives agricoles
24120,Cherveix-Cubas, Les ruralités touristiques à dominante résidentielle
24121,Chourgnac, Les ruralités productives agricoles
24122,Cladech, Les ruralités touristiques à dominante résidentielle
24123,Clermont-de-Beauregard, Les ruralités productives agricoles
24124,Clermont-d'Excideuil, Les ruralités productives agricoles
24126,Colombier, Les ruralités productives ouvrières
24128,Comberanche-et-Épeluche, Les ruralités productives agricoles
24129,Condat-sur-Trincou, Les petites polarités industrielles et artisanales
24130,Condat-sur-Vézère, Les ruralités productives agricoles
24131,Connezac, Les ruralités productives agricoles
24132,Conne-de-Labarde, Les ruralités résidentielles aisées
24133,La Coquille, Les petites polarités mixtes
24134,Corgnac-sur-l'Isle, Les ruralités productives agricoles
24135,Cornille, Les ruralités résidentielles mixtes
24136,Coubjours, Les ruralités productives agricoles
24137,Coulaures, Les petites polarités mixtes
24138,Coulounieix-Chamiers, Hors champ : DOM ou commune urbaine
24139,Coursac, Les ruralités résidentielles aisées
24140,Cours-de-Pile, Les ruralités résidentielles mixtes
24141,Coutures, Les ruralités productives agricoles
24142,Coux et Bigaroque-Mouzens, Les ruralités touristiques spécialisées
24143,Couze-et-Saint-Front, Les petites polarités industrielles et artisanales
24144,Creyssac, Les petites polarités mixtes
24145,Creysse, Les petites polarités mixtes
24146,Creyssensac-et-Pissot, Les ruralités productives ouvrières
24147,Cubjac-Auvézère-Val d'Ans, Les ruralités productives agricoles
24148,Cunèges, Les ruralités touristiques à dominante résidentielle
24150,Daglan, Les ruralités touristiques spécialisées
24151,Doissat, Les ruralités productives agricoles
24152,Domme, Les ruralités touristiques spécialisées
24153,La Dornac, Les ruralités résidentielles mixtes
24154,Douchapt, Les ruralités résidentielles aisées
24155,Douville, Les ruralités touristiques à dominante résidentielle
24156,La Douze, Les ruralités résidentielles mixtes
24157,Douzillac, Les ruralités productives agricoles
24158,Dussac, Les ruralités productives agricoles
24159,Échourgnac, Les ruralités productives ouvrières
24160,Église-Neuve-de-Vergt, Les ruralités résidentielles aisées
24161,Église-Neuve-d'Issac, Les ruralités productives ouvrières
24162,Escoire, Les ruralités résidentielles mixtes
24163,Étouars, Les ruralités touristiques à dominante résidentielle
24164,Excideuil, Les petites polarités mixtes
24165,Eygurande-et-Gardedeuil, Les ruralités touristiques à dominante résidentielle
24167,Eymet, Les petites polarités mixtes
24168,Plaisance, Les ruralités productives agricoles
24171,Eyzerac, Les ruralités productives agricoles
24172,Les Eyzies, Les ruralités touristiques spécialisées
24174,Fanlac, Les ruralités touristiques à dominante résidentielle
24175,Les Farges, Les ruralités productives agricoles
24176,Faurilles, Les ruralités productives agricoles
24177,Faux-en-Périgord, Les ruralités productives agricoles
24179,La Feuillade, Les ruralités résidentielles mixtes
24180,Firbeix, Les ruralités productives agricoles
24182,Le Fleix, Les petites polarités mixtes
24183,Fleurac, Les ruralités touristiques à dominante résidentielle
24184,Florimont-Gaumier, Les ruralités touristiques à dominante résidentielle
24186,Fonroque, Les petites polarités mixtes
24188,Fossemagne, Les ruralités productives agricoles
24189,Fougueyrolles, Les ruralités productives ouvrières
24190,Fouleix, Les ruralités résidentielles mixtes
24191,Fraisse, Les ruralités résidentielles mixtes
24192,Gabillou, Les ruralités productives agricoles
24193,Gageac-et-Rouillac, Les ruralités productives ouvrières
24194,Gardonne, Les ruralités productives agricoles
24195,Gaugeac, Les ruralités productives agricoles
24196,Génis, Les ruralités productives agricoles
24197,Ginestet, Les ruralités résidentielles mixtes
24199,Gout-Rossignol, Les ruralités productives agricoles
24200,Grand-Brassac, Les ruralités productives agricoles
24202,Granges-d'Ans, Les ruralités productives agricoles
24205,Grignols, Les ruralités productives ouvrières
