insee_com,lib_com,niveau_montagne
01372,Saint-Martin-de-Bavel,02 - Massif du Jura
01373,Saint-Martin-du-Frêne,02 - Massif du Jura
01374,Saint-Martin-du-Mont,02 - Massif du Jura
01384,Saint-Rambert-en-Bugey,02 - Massif du Jura
01386,Saint-Sorlin-en-Bugey,02 - Massif du Jura
01391,Salavre,02 - Massif du Jura
01392,Samognat,02 - Massif du Jura
01396,Sault-Brénaz,02 - Massif du Jura
01397,Sauverny,02 - Massif du Jura
01399,Ségny,02 - Massif du Jura
01400,Seillonnaz,02 - Massif du Jura
01401,Sergy,02 - Massif du Jura
01403,Serrières-de-Briord,02 - Massif du Jura
01404,Serrières-sur-Ain,02 - Massif du Jura
01407,Seyssel,02 - Massif du Jura
01408,Simandre-sur-Suran,02 - Massif du Jura
01410,Sonthonnax-la-Montagne,02 - Massif du Jura
01411,Souclin,02 - Massif du Jura
01415,Talissieu,02 - Massif du Jura
01416,Tenay,02 - Massif du Jura
01419,Thoiry,02 - Massif du Jura
01421,Torcieu,02 - Massif du Jura
01426,Val-Revermont,02 - Massif du Jura
01431,Vaux-en-Bugey,02 - Massif du Jura
01432,Verjon,02 - Massif du Jura
01435,Versonnex,02 - Massif du Jura
01436,Vesancy,02 - Massif du Jura
01441,Vieu-d'Izenave,02 - Massif du Jura
01444,Villebois,02 - Massif du Jura
01447,Villereversure,02 - Massif du Jura
01448,Villes,02 - Massif du Jura
01452,Virieu-le-Grand,02 - Massif du Jura
01453,Arvière-en-Valromey,02 - Massif du Jura
01454,Virignin,02 - Massif du Jura
01456,Vongnes,02 - Massif du Jura
03001,Abrest,06 - Massif Central
03002,Agonges,06 - Massif Central
03003,Ainay-le-Château,06 - Massif Central
03004,Andelaroche,06 - Massif Central
03005,Archignat,06 - Massif Central
03006,Arfeuilles,06 - Massif Central
03007,Arpheuilles-Saint-Priest,06 - Massif Central
03008,Arronnes,06 - Massif Central
03009,Aubigny,06 - Massif Central
03010,Audes,06 - Massif Central
03011,Aurouër,06 - Massif Central
03012,Autry-Issards,06 - Massif Central
03013,Avermes,06 - Massif Central
03014,Avrilly,06 - Massif Central
03015,Bagneux,06 - Massif Central
03016,Barberier,06 - Massif Central
03017,Barrais-Bussolles,06 - Massif Central
03018,Bayet,06 - Massif Central
03019,Beaulon,06 - Massif Central
03020,Beaune-d'Allier,06 - Massif Central
03021,Bègues,06 - Massif Central
03022,Bellenaves,06 - Massif Central
03023,Bellerive-sur-Allier,06 - Massif Central
03024,Bert,06 - Massif Central
03025,Bessay-sur-Allier,06 - Massif Central
03026,Besson,06 - Massif Central
03027,Bézenet,06 - Massif Central
03028,Billezois,06 - Massif Central
03029,Billy,06 - Massif Central
03030,Biozat,06 - Massif Central
03031,Bizeneuille,06 - Massif Central
03032,Blomard,06 - Massif Central
03033,Bost,06 - Massif Central
03034,Boucé,06 - Massif Central
03035,Le Bouchaud,06 - Massif Central
03036,Bourbon-l'Archambault,06 - Massif Central
03037,Braize,06 - Massif Central
03038,Bransat,06 - Massif Central
03039,Bresnay,06 - Massif Central
03040,Bressolles,06 - Massif Central
03041,Le Brethon,06 - Massif Central
03042,Le Breuil,06 - Massif Central
03043,Broût-Vernet,06 - Massif Central
03044,Brugheas,06 - Massif Central
03045,Busset,06 - Massif Central
03046,Buxières-les-Mines,06 - Massif Central
03047,La Celle,06 - Massif Central
03048,Cérilly,06 - Massif Central
03049,Cesset,06 - Massif Central
03050,La Chabanne,06 - Massif Central
03051,Chambérat,06 - Massif Central
03052,Chamblet,06 - Massif Central
03053,Chantelle,06 - Massif Central
03054,Chapeau,06 - Massif Central
03055,La Chapelaude,06 - Massif Central
03056,La Chapelle,06 - Massif Central
03057,La Chapelle-aux-Chasses,06 - Massif Central
03058,Chappes,06 - Massif Central
03059,Chareil-Cintrat,06 - Massif Central
03060,Charmeil,06 - Massif Central
03061,Charmes,06 - Massif Central
03062,Charroux,06 - Massif Central
03063,Chassenard,06 - Massif Central
03064,Château-sur-Allier,06 - Massif Central
03065,Châtel-de-Neuvre,06 - Massif Central
03066,Châtel-Montagne,06 - Massif Central
03067,Châtelperron,06 - Massif Central
03068,Châtelus,06 - Massif Central
03069,Châtillon,06 - Massif Central
03070,Chavenon,06 - Massif Central
03071,Chavroches,06 - Massif Central
03072,Chazemais,06 - Massif Central
03073,Chemilly,06 - Massif Central
03074,Chevagnes,06 - Massif Central
03075,Chezelle,06 - Massif Central
03076,Chézy,06 - Massif Central
03077,Chirat-l'Église,06 - Massif Central
03078,Chouvigny,06 - Massif Central
03079,Cindré,06 - Massif Central
03080,Cognat-Lyonne,06 - Massif Central
03081,Colombier,06 - Massif Central
03082,Commentry,06 - Massif Central
03083,Contigny,06 - Massif Central
03084,Cosne-d'Allier,06 - Massif Central
03085,Coulandon,06 - Massif Central
03086,Coulanges,06 - Massif Central
03087,Couleuvre,06 - Massif Central
03088,Courçais,06 - Massif Central
03089,Coutansouze,06 - Massif Central
03090,Couzon,06 - Massif Central
03091,Créchy,06 - Massif Central
03092,Cressanges,06 - Massif Central
03093,Creuzier-le-Neuf,06 - Massif Central
03094,Creuzier-le-Vieux,06 - Massif Central
03095,Cusset,06 - Massif Central
03096,Deneuille-lès-Chantelle,06 - Massif Central
03097,Deneuille-les-Mines,06 - Massif Central
03098,Désertines,06 - Massif Central
03099,Deux-Chaises,06 - Massif Central
03100,Diou,06 - Massif Central
03101,Domérat,06 - Massif Central
03102,Dompierre-sur-Besbre,06 - Massif Central
03103,Le Donjon,06 - Massif Central
03104,Doyet,06 - Massif Central
03105,Droiturier,06 - Massif Central
03106,Durdat-Larequille,06 - Massif Central
03107,Ébreuil,06 - Massif Central
03108,Échassières,06 - Massif Central
03109,Escurolles,06 - Massif Central
03110,Espinasse-Vozelle,06 - Massif Central
03111,Estivareilles,06 - Massif Central
03112,Étroussat,06 - Massif Central
03113,Ferrières-sur-Sichon,06 - Massif Central
03114,La Ferté-Hauterive,06 - Massif Central
03115,Fleuriel,06 - Massif Central
03116,Fourilles,06 - Massif Central
03117,Franchesse,06 - Massif Central
03118,Gannat,06 - Massif Central
03119,Gannay-sur-Loire,06 - Massif Central
03120,Garnat-sur-Engièvre,06 - Massif Central
03121,Gennetines,06 - Massif Central
03122,Gipcy,06 - Massif Central
03124,Gouise,06 - Massif Central
03125,La Guillermie,06 - Massif Central
03126,Hauterive,06 - Massif Central
03127,Hérisson,06 - Massif Central
03128,Huriel,06 - Massif Central
03129,Hyds,06 - Massif Central
03130,Isle-et-Bardais,06 - Massif Central
03131,Isserpent,06 - Massif Central
03132,Jaligny-sur-Besbre,06 - Massif Central
03133,Jenzat,06 - Massif Central
03134,Laféline,06 - Massif Central
03135,Lalizolle,06 - Massif Central
03136,Lamaids,06 - Massif Central
03137,Langy,06 - Massif Central
03138,Lapalisse,06 - Massif Central
03139,Laprugne,06 - Massif Central
03140,Lavault-Sainte-Anne,06 - Massif Central
03141,Lavoine,06 - Massif Central
03142,Lenax,06 - Massif Central
03143,Lételon,06 - Massif Central
03144,Liernolles,06 - Massif Central
03145,Lignerolles,06 - Massif Central
03146,Limoise,06 - Massif Central
03147,Loddes,06 - Massif Central
03148,Loriges,06 - Massif Central
03149,Louchy-Montfand,06 - Massif Central
03150,Louroux-Bourbonnais,06 - Massif Central
03151,Louroux-de-Beaune,06 - Massif Central
03152,Louroux-de-Bouble,06 - Massif Central
03154,Luneau,06 - Massif Central
03155,Lurcy-Lévis,06 - Massif Central
03156,Lusigny,06 - Massif Central
03157,Magnet,06 - Massif Central
03158,Haut-Bocage,06 - Massif Central
03159,Malicorne,06 - Massif Central
03160,Marcenat,06 - Massif Central
03161,Marcillat-en-Combraille,06 - Massif Central
03162,Marigny,06 - Massif Central
03163,Mariol,06 - Massif Central
03164,Le Mayet-d'École,06 - Massif Central
03165,Le Mayet-de-Montagne,06 - Massif Central
03166,Mazerier,06 - Massif Central
03167,Mazirat,06 - Massif Central
03168,Meaulne-Vitray,06 - Massif Central
03169,Meillard,06 - Massif Central
03170,Meillers,06 - Massif Central
03171,Mercy,06 - Massif Central
03172,Mesples,06 - Massif Central
03173,Molinet,06 - Massif Central
03174,Molles,06 - Massif Central
03175,Monestier,06 - Massif Central
03176,Monétay-sur-Allier,06 - Massif Central
03177,Monétay-sur-Loire,06 - Massif Central
03178,Montaiguët-en-Forez,06 - Massif Central
03179,Montaigu-le-Blin,06 - Massif Central
03180,Montbeugny,06 - Massif Central
03181,Montcombroux-les-Mines,06 - Massif Central
03182,Monteignet-sur-l'Andelot,06 - Massif Central
03183,Le Montet,06 - Massif Central
03184,Montilly,06 - Massif Central
03185,Montluçon,06 - Massif Central
03186,Montmarault,06 - Massif Central
03187,Montoldre,06 - Massif Central
03188,Montord,06 - Massif Central
03189,Montvicq,06 - Massif Central
03190,Moulins,06 - Massif Central
03191,Murat,06 - Massif Central
03192,Nades,06 - Massif Central
03193,Nassigny,06 - Massif Central
03194,Naves,06 - Massif Central
03195,Néris-les-Bains,06 - Massif Central
03196,Neuilly-en-Donjon,06 - Massif Central
03197,Neuilly-le-Réal,06 - Massif Central
03198,Neure,06 - Massif Central
03200,Neuvy,06 - Massif Central
03201,Nizerolles,06 - Massif Central
03202,Noyant-d'Allier,06 - Massif Central
03203,Paray-le-Frésil,06 - Massif Central
03204,Paray-sous-Briailles,06 - Massif Central
03205,Périgny,06 - Massif Central
03206,La Petite-Marche,06 - Massif Central
03207,Pierrefitte-sur-Loire,06 - Massif Central
03208,Le Pin,06 - Massif Central
03209,Poëzat,06 - Massif Central
03210,Pouzy-Mésangy,06 - Massif Central
03211,Prémilhat,06 - Massif Central
03212,Quinssaines,06 - Massif Central
03213,Reugny,06 - Massif Central
03214,Rocles,06 - Massif Central
03215,Rongères,06 - Massif Central
03216,Ronnet,06 - Massif Central
03217,Saint-Angel,06 - Massif Central
03218,Saint-Aubin-le-Monial,06 - Massif Central
03219,Saint-Bonnet-de-Four,06 - Massif Central
03220,Saint-Bonnet-de-Rochefort,06 - Massif Central
03221,Saint-Bonnet-Tronçais,06 - Massif Central
03222,Saint-Caprais,06 - Massif Central
03223,Saint-Christophe-en-Bourbonnais,06 - Massif Central
03224,Saint-Clément,06 - Massif Central
03225,Saint-Désiré,06 - Massif Central
03226,Saint-Didier-en-Donjon,06 - Massif Central
03227,Saint-Didier-la-Forêt,06 - Massif Central
03228,Saint-Éloy-d'Allier,06 - Massif Central
03229,Saint-Ennemond,06 - Massif Central
03230,Saint-Étienne-de-Vicq,06 - Massif Central
03231,Saint-Fargeol,06 - Massif Central
03232,Saint-Félix,06 - Massif Central
03233,Saint-Genest,06 - Massif Central
03234,Saint-Gérand-de-Vaux,06 - Massif Central
03235,Saint-Gérand-le-Puy,06 - Massif Central
03236,Saint-Germain-des-Fossés,06 - Massif Central
03237,Saint-Germain-de-Salles,06 - Massif Central
03238,Saint-Hilaire,06 - Massif Central
03239,Saint-Léger-sur-Vouzance,06 - Massif Central
03240,Saint-Léon,06 - Massif Central
03241,Saint-Léopardin-d'Augy,06 - Massif Central
03242,Saint-Loup,06 - Massif Central
03243,Saint-Marcel-en-Murat,06 - Massif Central
03244,Saint-Marcel-en-Marcillat,06 - Massif Central
03245,Saint-Martin-des-Lais,06 - Massif Central
03246,Saint-Martinien,06 - Massif Central
03247,Saint-Menoux,06 - Massif Central
03248,Saint-Nicolas-des-Biefs,06 - Massif Central
03249,Saint-Palais,06 - Massif Central
03250,Saint-Pierre-Laval,06 - Massif Central
03251,Saint-Plaisir,06 - Massif Central
03252,Saint-Pont,06 - Massif Central
03253,Saint-Pourçain-sur-Besbre,06 - Massif Central
03254,Saint-Pourçain-sur-Sioule,06 - Massif Central
03255,Saint-Priest-d'Andelot,06 - Massif Central
