insee_com,lib_com,niveau_densite
01170,Béard-Géovreissiat,Petites villes
01171,Géovreisset,Ceintures urbaines
01173,Gex,Centres urbains intermédiaires
01174,Giron,Rural à habitat dispersé
01175,Gorrevod,Bourgs ruraux
01177,Grand-Corent,Rural à habitat dispersé
01179,Grièges,Bourgs ruraux
01180,Grilly,Rural à habitat dispersé
01181,Groissiat,Rural à habitat dispersé
01183,Guéreins,Ceintures urbaines
01184,Hautecourt-Romanèche,Rural à habitat dispersé
01185,Plateau d'Hauteville,Bourgs ruraux
01187,Haut Valromey,Rural à habitat dispersé
01188,Illiat,Rural à habitat dispersé
01189,Injoux-Génissiat,Rural à habitat dispersé
01190,Innimond,Rural à habitat dispersé
01191,Izenave,Rural à habitat dispersé
01192,Izernore,Bourgs ruraux
01193,Izieu,Rural à habitat dispersé
01194,Jassans-Riottier,Ceintures urbaines
01195,Jasseron,Bourgs ruraux
01196,Jayat,Rural à habitat dispersé
01197,Journans,Rural à habitat dispersé
01198,Joyeux,Rural à habitat très dispersé
01199,Jujurieux,Bourgs ruraux
01200,Labalme,Rural à habitat dispersé
01202,Lagnieu,Petites villes
01203,Laiz,Bourgs ruraux
01204,Le Poizat-Lalleyriat,Rural à habitat dispersé
01206,Lantenay,Rural à habitat dispersé
01207,Lapeyrouse,Rural à habitat dispersé
01208,Lavours,Rural à habitat dispersé
01209,Léaz,Rural à habitat dispersé
01210,Lélex,Rural à habitat dispersé
01211,Lent,Bourgs ruraux
01212,Lescheroux,Rural à habitat dispersé
01213,Leyment,Rural à habitat dispersé
01214,Leyssard,Rural à habitat très dispersé
01215,Surjoux-Lhopital,Rural à habitat très dispersé
01216,Lhuis,Rural à habitat dispersé
01219,Lompnas,Rural à habitat dispersé
01224,Loyettes,Ceintures urbaines
01225,Lurcy,Rural à habitat dispersé
01227,Magnieu,Rural à habitat dispersé
01228,Maillat,Bourgs ruraux
01229,Malafretaz,Rural à habitat dispersé
01230,Mantenay-Montlin,Rural à habitat très dispersé
01231,Manziat,Bourgs ruraux
01232,Marboz,Rural à habitat dispersé
01233,Marchamp,Rural à habitat dispersé
01234,Marignieu,Rural à habitat dispersé
01235,Marlieux,Bourgs ruraux
01236,Marsonnas,Rural à habitat dispersé
01237,Martignat,Bourgs ruraux
01238,Massieux,Ceintures urbaines
01239,Massignieu-de-Rives,Rural à habitat dispersé
01240,Matafelon-Granges,Rural à habitat dispersé
01241,Meillonnas,Rural à habitat dispersé
01242,Mérignat,Rural à habitat dispersé
01243,Messimy-sur-Saône,Bourgs ruraux
01244,Meximieux,Centres urbains intermédiaires
01245,Bohas-Meyriat-Rignat,Rural à habitat dispersé
01246,Mézériat,Bourgs ruraux
01247,Mijoux,Rural à habitat dispersé
01248,Mionnay,Bourgs ruraux
01249,Miribel,Ceintures urbaines
01250,Misérieux,Ceintures urbaines
01252,Mogneneins,Rural à habitat dispersé
01254,Montagnat,Bourgs ruraux
01255,Montagnieu,Rural à habitat dispersé
01257,Montanges,Rural à habitat dispersé
01258,Montceaux,Bourgs ruraux
01259,Montcet,Rural à habitat dispersé
01260,Le Montellier,Rural à habitat très dispersé
01261,Monthieux,Bourgs ruraux
01262,Montluel,Centres urbains intermédiaires
01263,Montmerle-sur-Saône,Ceintures urbaines
01264,Montracol,Bourgs ruraux
01265,Montréal-la-Cluse,Petites villes
01266,Montrevel-en-Bresse,Bourgs ruraux
01267,Nurieux-Volognat,Rural à habitat dispersé
01268,Murs-et-Gélignieux,Rural à habitat très dispersé
01269,Nantua,Bourgs ruraux
01272,Neuville-les-Dames,Bourgs ruraux
01273,Neuville-sur-Ain,Rural à habitat dispersé
01274,Les Neyrolles,Bourgs ruraux
01275,Neyron,Ceintures urbaines
