insee_com,lib_com,niveau_densite
16035,Beaulieu-sur-Sonnette,Rural à habitat dispersé
16036,Bécheresse,Rural à habitat très dispersé
16037,Bellon,Rural à habitat très dispersé
16038,Benest,Rural à habitat très dispersé
16039,Bernac,Rural à habitat dispersé
16040,Berneuil,Rural à habitat très dispersé
16041,Bessac,Rural à habitat très dispersé
16042,Bessé,Rural à habitat dispersé
16044,Bioussac,Rural à habitat très dispersé
16045,Birac,Rural à habitat très dispersé
16046,Coteaux-du-Blanzacais,Rural à habitat dispersé
16047,Blanzaguet-Saint-Cybard,Rural à habitat dispersé
16048,Boisbreteau,Rural à habitat très dispersé
16049,Bonnes,Rural à habitat très dispersé
16050,Bonneuil,Rural à habitat très dispersé
16052,Bors (Canton de Tude-et-Lavalette),Rural à habitat dispersé
16053,Bors (Canton de Charente-Sud),Rural à habitat très dispersé
16054,Le Bouchage,Rural à habitat très dispersé
16055,Bouëx,Rural à habitat dispersé
16056,Bourg-Charente,Rural à habitat dispersé
16057,Bouteville,Rural à habitat très dispersé
16058,Boutiers-Saint-Trojan,Rural à habitat dispersé
16059,Brettes,Rural à habitat dispersé
16060,Bréville,Rural à habitat dispersé
16061,Brie,Rural à habitat dispersé
16062,Brie-sous-Barbezieux,Rural à habitat très dispersé
16063,Brie-sous-Chalais,Rural à habitat très dispersé
16064,Brigueuil,Rural à habitat dispersé
16065,Brillac,Rural à habitat très dispersé
16066,Brossac,Rural à habitat très dispersé
16067,Bunzac,Rural à habitat dispersé
16068,Cellefrouin,Rural à habitat très dispersé
16069,Cellettes,Rural à habitat dispersé
16070,Chabanais,Bourgs ruraux
16071,Chabrac,Rural à habitat très dispersé
16072,Chadurie,Rural à habitat dispersé
16073,Chalais,Bourgs ruraux
16074,Challignac,Rural à habitat très dispersé
16075,Champagne-Vigny,Rural à habitat très dispersé
16076,Champagne-Mouton,Rural à habitat dispersé
16077,Champmillon,Rural à habitat dispersé
16078,Champniers,Rural à habitat dispersé
16079,Chantillac,Rural à habitat dispersé
16081,La Chapelle,Rural à habitat dispersé
16082,Boisné-La Tude,Rural à habitat très dispersé
16083,Charmé,Rural à habitat dispersé
16084,Charras,Rural à habitat très dispersé
16085,Chasseneuil-sur-Bonnieure,Rural à habitat dispersé
16086,Chassenon,Rural à habitat dispersé
16087,Chassiecq,Rural à habitat très dispersé
16088,Chassors,Rural à habitat dispersé
16089,Châteaubernard,Ceintures urbaines
16090,Châteauneuf-sur-Charente,Bourgs ruraux
16091,Châtignac,Rural à habitat très dispersé
16093,Chazelles,Rural à habitat dispersé
16095,Chenon,Rural à habitat très dispersé
16096,Cherves-Châtelars,Rural à habitat très dispersé
16097,Val-de-Cognac,Rural à habitat dispersé
16098,La Chèvrerie,Rural à habitat dispersé
16099,Chillac,Rural à habitat dispersé
16100,Chirac,Rural à habitat dispersé
16101,Claix,Rural à habitat dispersé
16102,Cognac,Centres urbains intermédiaires
16103,Combiers,Rural à habitat très dispersé
16104,Condac,Rural à habitat dispersé
16105,Condéon,Rural à habitat très dispersé
16106,Confolens,Bourgs ruraux
16107,Coulgens,Rural à habitat dispersé
16108,Coulonges,Rural à habitat dispersé
16109,Courbillac,Rural à habitat dispersé
16110,Courcôme,Rural à habitat dispersé
16111,Courgeac,Rural à habitat très dispersé
16112,Courlac,Rural à habitat très dispersé
16113,La Couronne,Ceintures urbaines
16114,Couture,Rural à habitat très dispersé
16116,Criteuil-la-Magdeleine,Rural à habitat très dispersé
16117,Curac,Rural à habitat très dispersé
16118,Deviat,Rural à habitat dispersé
16119,Dignac,Rural à habitat dispersé
16120,Dirac,Rural à habitat dispersé
16121,Douzat,Rural à habitat dispersé
16122,Ébréon,Rural à habitat très dispersé
16123,Échallat,Rural à habitat dispersé
16124,Écuras,Rural à habitat très dispersé
16125,Édon,Rural à habitat très dispersé
16127,Empuré,Rural à habitat très dispersé
16128,Épenède,Rural à habitat très dispersé
16130,Les Essards,Rural à habitat très dispersé
16131,Esse,Rural à habitat très dispersé
16132,Étagnac,Rural à habitat dispersé
16133,Étriac,Rural à habitat dispersé
16134,Exideuil-sur-Vienne,Rural à habitat dispersé
16135,Eymouthiers,Rural à habitat dispersé
16136,La Faye,Rural à habitat dispersé
16137,Feuillade,Rural à habitat très dispersé
16138,Fléac,Ceintures urbaines
16139,Fleurac,Rural à habitat dispersé
16141,Fontenille,Rural à habitat dispersé
16142,La Forêt-de-Tessé,Rural à habitat très dispersé
16143,Fouquebrune,Rural à habitat dispersé
16144,Fouqueure,Rural à habitat dispersé
16145,Foussignac,Rural à habitat dispersé
16146,Garat,Rural à habitat dispersé
16148,Genac-Bignac,Rural à habitat dispersé
16150,Gensac-la-Pallue,Rural à habitat dispersé
16151,Genté,Rural à habitat dispersé
16152,Gimeux,Rural à habitat dispersé
16153,Mainxe-Gondeville,Rural à habitat dispersé
16154,Gond-Pontouvre,Ceintures urbaines
16155,Les Gours,Rural à habitat dispersé
16157,Le Grand-Madieu,Rural à habitat dispersé
16158,Grassac,Rural à habitat très dispersé
16160,Guimps,Rural à habitat très dispersé
16161,Guizengeard,Rural à habitat très dispersé
16162,Gurat,Rural à habitat très dispersé
16163,Hiersac,Bourgs ruraux
16164,Hiesse,Rural à habitat très dispersé
16165,Houlette,Rural à habitat dispersé
16166,L'Isle-d'Espagnac,Ceintures urbaines
16167,Jarnac,Bourgs ruraux
16168,Jauldes,Rural à habitat dispersé
16169,Javrezac,Rural à habitat dispersé
16170,Juignac,Rural à habitat très dispersé
16171,Juillac-le-Coq,Rural à habitat dispersé
16173,Juillé,Rural à habitat très dispersé
16174,Julienne,Rural à habitat dispersé
16175,Val des Vignes,Rural à habitat très dispersé
16176,Lachaise,Rural à habitat très dispersé
16177,Ladiville,Rural à habitat très dispersé
16178,Lagarde-sur-le-Né,Rural à habitat très dispersé
16180,Laprade,Rural à habitat dispersé
16181,Lessac,Rural à habitat dispersé
16182,Lesterps,Rural à habitat très dispersé
16183,Lésignac-Durand,Rural à habitat très dispersé
16184,Lichères,Rural à habitat dispersé
16185,Ligné,Rural à habitat dispersé
16186,Lignières-Ambleville,Rural à habitat dispersé
16187,Linars,Ceintures urbaines
16188,Le Lindois,Rural à habitat très dispersé
16189,Londigny,Rural à habitat très dispersé
16190,Longré,Rural à habitat très dispersé
16191,Lonnes,Rural à habitat dispersé
16192,Terres-de-Haute-Charente,Rural à habitat dispersé
16193,Louzac-Saint-André,Rural à habitat dispersé
16194,Lupsault,Rural à habitat très dispersé
16195,Lussac,Rural à habitat dispersé
16196,Luxé,Rural à habitat dispersé
16197,La Magdeleine,Rural à habitat très dispersé
16198,Magnac-lès-Gardes,Rural à habitat très dispersé
16199,Magnac-sur-Touvre,Ceintures urbaines
16200,Maine-de-Boixe,Rural à habitat dispersé
16203,Mainzac,Rural à habitat très dispersé
16204,Bellevigne,Rural à habitat très dispersé
16205,Manot,Rural à habitat très dispersé
16206,Mansle-les-Fontaines,Bourgs ruraux
16207,Marcillac-Lanville,Rural à habitat dispersé
16208,Mareuil,Rural à habitat dispersé
16209,Marillac-le-Franc,Rural à habitat dispersé
16210,Marsac,Rural à habitat dispersé
16211,Marthon,Rural à habitat dispersé
16212,Massignac,Rural à habitat dispersé
16213,Mazerolles,Rural à habitat très dispersé
16215,Médillac,Rural à habitat très dispersé
16216,Mérignac,Rural à habitat dispersé
16217,Merpins,Rural à habitat dispersé
16218,Mesnac,Rural à habitat dispersé
16220,Les Métairies,Rural à habitat dispersé
16221,Mons,Rural à habitat dispersé
16222,Montboyer,Rural à habitat très dispersé
16223,Montbron,Bourgs ruraux
16224,Montmérac,Rural à habitat dispersé
16225,Montembœuf,Rural à habitat dispersé
16227,Montignac-le-Coq,Rural à habitat très dispersé
16229,Montjean,Rural à habitat très dispersé
16230,Montmoreau,Rural à habitat très dispersé
16231,Montrollet,Rural à habitat très dispersé
16232,Mornac,Rural à habitat dispersé
16233,Mosnac-Saint-Simeux,Rural à habitat dispersé
16234,Moulidars,Rural à habitat dispersé
16236,Mouthiers-sur-Boëme,Rural à habitat dispersé
16237,Mouton,Rural à habitat dispersé
16239,Mouzon,Rural à habitat très dispersé
16240,Nabinaud,Rural à habitat très dispersé
16241,Nanclars,Rural à habitat dispersé
16242,Nanteuil-en-Vallée,Rural à habitat très dispersé
16243,Nercillac,Rural à habitat dispersé
16244,Nersac,Ceintures urbaines
16245,Nieuil,Rural à habitat dispersé
16246,Nonac,Rural à habitat très dispersé
16248,Oradour,Rural à habitat dispersé
16249,Oradour-Fanais,Rural à habitat très dispersé
16250,Orgedeuil,Rural à habitat très dispersé
16251,Oriolles,Rural à habitat très dispersé
16252,Orival,Rural à habitat très dispersé
16253,Paizay-Naudouin-Embourie,Rural à habitat dispersé
16254,Palluaud,Rural à habitat très dispersé
16255,Parzac,Rural à habitat très dispersé
16256,Passirac,Rural à habitat très dispersé
16258,Pérignac,Rural à habitat très dispersé
16260,Pillac,Rural à habitat très dispersé
16261,Les Pins,Rural à habitat très dispersé
16263,Plassac-Rouffiac,Rural à habitat dispersé
16264,Pleuville,Rural à habitat très dispersé
16267,Poullignac,Rural à habitat très dispersé
16268,Poursac,Rural à habitat très dispersé
16269,Pranzac,Rural à habitat dispersé
16270,Pressignac,Rural à habitat très dispersé
16271,Puymoyen,Ceintures urbaines
16272,Puyréaux,Rural à habitat dispersé
16273,Raix,Rural à habitat dispersé
16275,Ranville-Breuillaud,Rural à habitat très dispersé
16276,Reignac,Rural à habitat dispersé
16277,Réparsac,Rural à habitat dispersé
16279,Rioux-Martin,Rural à habitat très dispersé
16280,Rivières,Rural à habitat dispersé
16281,La Rochefoucauld-en-Angoumois,Bourgs ruraux
16282,La Rochette,Rural à habitat dispersé
16283,Ronsenac,Rural à habitat dispersé
16284,Rouffiac,Rural à habitat très dispersé
16285,Rougnac,Rural à habitat très dispersé
16286,Rouillac,Rural à habitat dispersé
16287,Roullet-Saint-Estèphe,Rural à habitat dispersé
16289,Roussines,Rural à habitat très dispersé
16290,Rouzède,Rural à habitat très dispersé
16291,Ruelle-sur-Touvre,Ceintures urbaines
16292,Ruffec,Bourgs ruraux
16293,Saint-Adjutory,Rural à habitat dispersé
16295,Saint-Amant-de-Boixe,Bourgs ruraux
16297,Graves-Saint-Amant,Rural à habitat dispersé
16298,Saint-Amant-de-Nouère,Rural à habitat dispersé
16300,Val-de-Bonnieure,Rural à habitat dispersé
16301,Saint-Aulais-la-Chapelle,Rural à habitat très dispersé
16302,Saint-Avit,Rural à habitat dispersé
16303,Saint-Bonnet,Rural à habitat très dispersé
16304,Saint-Brice,Rural à habitat dispersé
16306,Saint-Christophe,Rural à habitat très dispersé
16307,Saint-Ciers-sur-Bonnieure,Rural à habitat dispersé
16308,Saint-Claud,Rural à habitat dispersé
16310,Saint-Coutant,Rural à habitat très dispersé
16312,Saint-Cybardeaux,Rural à habitat dispersé
16315,Saint-Félix,Rural à habitat très dispersé
16316,Saint-Fort-sur-le-Né,Rural à habitat dispersé
16317,Saint-Fraigne,Rural à habitat dispersé
16318,Saint-Front,Rural à habitat dispersé
16320,Saint-Genis-d'Hiersac,Rural à habitat dispersé
16321,Saint-Georges,Rural à habitat très dispersé
16323,Saint-Germain-de-Montbron,Rural à habitat dispersé
16325,Saint-Gourson,Rural à habitat très dispersé
16326,Saint-Groux,Rural à habitat dispersé
16329,Saint-Laurent-de-Céris,Rural à habitat dispersé
16330,Saint-Laurent-de-Cognac,Rural à habitat dispersé
16331,Saint-Laurent-des-Combes,Rural à habitat très dispersé
16334,Saint-Martial,Rural à habitat très dispersé
16335,Saint-Martin-du-Clocher,Rural à habitat très dispersé
16336,Saint-Mary,Rural à habitat dispersé
16337,Saint-Maurice-des-Lions,Rural à habitat très dispersé
16338,Saint-Médard,Rural à habitat très dispersé
16339,Val-d'Auge,Rural à habitat très dispersé
16340,Saint-Même-les-Carrières,Rural à habitat dispersé
16341,Saint-Michel,Ceintures urbaines
16342,Saint-Palais-du-Né,Rural à habitat dispersé
16343,Saint-Preuil,Rural à habitat dispersé
16345,Saint-Quentin-sur-Charente,Rural à habitat très dispersé
16346,Saint-Quentin-de-Chalais,Rural à habitat très dispersé
16347,Saint-Romain,Rural à habitat dispersé
16348,Saint-Saturnin,Rural à habitat dispersé
16349,Sainte-Sévère,Rural à habitat dispersé
16350,Saint-Séverin,Rural à habitat dispersé
16352,Saint-Simon,Rural à habitat dispersé
16353,Saint-Sornin,Rural à habitat dispersé
16354,Sainte-Souline,Rural à habitat très dispersé
16356,Saint-Sulpice-de-Ruffec,Rural à habitat très dispersé
16357,Saint-Vallier,Rural à habitat très dispersé
16358,Saint-Yrieix-sur-Charente,Ceintures urbaines
16359,Salles-d'Angles,Rural à habitat dispersé
16360,Salles-de-Barbezieux,Rural à habitat dispersé
16361,Salles-de-Villefagnan,Rural à habitat dispersé
16362,Salles-Lavalette,Rural à habitat très dispersé
16363,Saulgond,Rural à habitat très dispersé
16364,Sauvagnac,Rural à habitat très dispersé
16365,Sauvignac,Rural à habitat très dispersé
16366,Segonzac,Rural à habitat dispersé
16368,Sers,Rural à habitat dispersé
16369,Sigogne,Rural à habitat dispersé
16370,Sireuil,Rural à habitat dispersé
16372,Souffrignac,Rural à habitat très dispersé
16373,Souvigné,Rural à habitat dispersé
16374,Soyaux,Centres urbains intermédiaires
16375,Suaux,Rural à habitat dispersé
16377,La Tâche,Rural à habitat dispersé
16378,Taizé-Aizie,Rural à habitat dispersé
16379,Taponnat-Fleurignac,Rural à habitat dispersé
16380,Le Tâtre,Rural à habitat dispersé
16381,Theil-Rabier,Rural à habitat dispersé
16382,Torsac,Rural à habitat dispersé
16383,Tourriers,Rural à habitat dispersé
16384,Touvérac,Rural à habitat dispersé
16385,Touvre,Petites villes
16387,Triac-Lautrait,Rural à habitat dispersé
16388,Trois-Palis,Rural à habitat dispersé
16389,Turgon,Rural à habitat très dispersé
16390,Tusson,Rural à habitat dispersé
16392,Valence,Rural à habitat très dispersé
16393,La Boixe,Rural à habitat dispersé
16394,Vaux-Lavalette,Rural à habitat très dispersé
16395,Vaux-Rouillac,Rural à habitat dispersé
16396,Ventouse,Rural à habitat très dispersé
16397,Verdille,Rural à habitat dispersé
16398,Verneuil,Rural à habitat très dispersé
16399,Verrières,Rural à habitat très dispersé
16400,Verteuil-sur-Charente,Rural à habitat dispersé
16401,Vervant,Rural à habitat dispersé
16402,Vibrac,Rural à habitat dispersé
16403,Le Vieux-Cérier,Rural à habitat très dispersé
16404,Vieux-Ruffec,Rural à habitat très dispersé
16405,Vignolles,Rural à habitat très dispersé
16406,Moulins-sur-Tardoire,Rural à habitat dispersé
16408,Villebois-Lavalette,Rural à habitat dispersé
16409,Villefagnan,Bourgs ruraux
16412,Villejoubert,Rural à habitat dispersé
16413,Villiers-le-Roux,Rural à habitat dispersé
16414,Villognon,Rural à habitat dispersé
16415,Vindelle,Rural à habitat dispersé
16416,Vitrac-Saint-Vincent,Rural à habitat très dispersé
16418,Vœuil-et-Giget,Ceintures urbaines
16419,Vouharte,Rural à habitat dispersé
16420,Voulgézac,Rural à habitat très dispersé
16421,Vouthon,Rural à habitat dispersé
16422,Vouzan,Rural à habitat dispersé
16423,Xambes,Rural à habitat dispersé
16424,Yviers,Rural à habitat dispersé
16425,Yvrac-et-Malleyrand,Rural à habitat très dispersé
17002,Agudelle,Rural à habitat très dispersé
17003,Aigrefeuille-d'Aunis,Bourgs ruraux
17004,Île-d'Aix,Rural à habitat dispersé
17005,Allas-Bocage,Rural à habitat dispersé
17006,Allas-Champagne,Rural à habitat très dispersé
17007,Anais,Rural à habitat dispersé
17008,Andilly,Bourgs ruraux
17009,Angliers,Bourgs ruraux
17010,Angoulins,Ceintures urbaines
17011,Annepont,Rural à habitat dispersé
17012,Annezay,Rural à habitat très dispersé
17013,Antezant-la-Chapelle,Rural à habitat dispersé
17015,Arces,Rural à habitat dispersé
17016,Archiac,Rural à habitat dispersé
17017,Archingeay,Rural à habitat dispersé
17018,Ardillières,Bourgs ruraux
17019,Ars-en-Ré,Bourgs ruraux
17020,Arthenac,Rural à habitat très dispersé
17021,Arvert,Petites villes
17022,Asnières-la-Giraud,Rural à habitat dispersé
17023,Aujac,Rural à habitat dispersé
17024,Aulnay,Bourgs ruraux
17025,Aumagne,Rural à habitat dispersé
17026,Authon-Ébéon,Rural à habitat très dispersé
17027,Avy,Rural à habitat dispersé
17028,Aytré,Centres urbains intermédiaires
17029,Bagnizeau,Rural à habitat dispersé
17030,Balanzac,Rural à habitat dispersé
17031,Ballans,Rural à habitat dispersé
17032,Ballon,Rural à habitat dispersé
17033,La Barde,Rural à habitat dispersé
17034,Barzan,Rural à habitat dispersé
17035,Bazauges,Rural à habitat dispersé
17036,Beaugeay,Rural à habitat dispersé
17037,Beauvais-sur-Matha,Rural à habitat dispersé
17038,Bedenac,Rural à habitat dispersé
17039,Belluire,Rural à habitat très dispersé
17041,Benon,Bourgs ruraux
17042,Bercloux,Rural à habitat très dispersé
17043,Bernay-Saint-Martin,Rural à habitat dispersé
17044,Berneuil,Rural à habitat dispersé
17045,Beurlay,Rural à habitat dispersé
17046,Bignay,Rural à habitat dispersé
17047,Biron,Rural à habitat dispersé
17048,Blanzac-lès-Matha,Rural à habitat dispersé
17049,Blanzay-sur-Boutonne,Rural à habitat très dispersé
17050,Bois,Rural à habitat très dispersé
17051,Le Bois-Plage-en-Ré,Petites villes
17052,Boisredon,Rural à habitat très dispersé
17053,Bords,Bourgs ruraux
17054,Boresse-et-Martron,Rural à habitat très dispersé
17055,Boscamnant,Rural à habitat très dispersé
17056,Bougneau,Rural à habitat dispersé
17057,Bouhet,Bourgs ruraux
17058,Bourcefranc-le-Chapus,Bourgs ruraux
17059,Bourgneuf,Petites villes
17060,Boutenac-Touvent,Rural à habitat dispersé
17061,Bran,Rural à habitat très dispersé
17062,Bresdon,Rural à habitat très dispersé
17063,Breuil-la-Réorte,Rural à habitat dispersé
17064,Breuillet,Bourgs ruraux
17065,Breuil-Magné,Bourgs ruraux
17066,Brie-sous-Archiac,Rural à habitat dispersé
17067,Brie-sous-Matha,Rural à habitat dispersé
17068,Brie-sous-Mortagne,Rural à habitat dispersé
17069,Brives-sur-Charente,Rural à habitat dispersé
17070,Brizambourg,Rural à habitat dispersé
17071,La Brousse,Rural à habitat dispersé
17072,Burie,Rural à habitat dispersé
17073,Bussac-sur-Charente,Bourgs ruraux
17074,Bussac-Forêt,Rural à habitat dispersé
17075,Cabariot,Rural à habitat dispersé
17076,Celles,Rural à habitat dispersé
17077,Cercoux,Rural à habitat très dispersé
17078,Chadenac,Rural à habitat dispersé
17079,Chaillevette,Petites villes
17080,Chambon,Rural à habitat dispersé
17081,Chamouillac,Rural à habitat dispersé
17082,Champagnac,Rural à habitat dispersé
17083,Champagne,Rural à habitat dispersé
17084,Champagnolles,Rural à habitat dispersé
17085,Champdolent,Rural à habitat dispersé
17086,Chaniers,Rural à habitat dispersé
17087,Chantemerle-sur-la-Soie,Rural à habitat dispersé
17089,La Chapelle-des-Pots,Rural à habitat dispersé
17091,Charron,Bourgs ruraux
17092,Chartuzac,Rural à habitat dispersé
17093,Le Château-d'Oléron,Bourgs ruraux
17094,Châtelaillon-Plage,Ceintures urbaines
17095,Chatenet,Rural à habitat très dispersé
17096,Chaunac,Rural à habitat très dispersé
17097,Le Chay,Rural à habitat dispersé
17098,Chenac-Saint-Seurin-d'Uzet,Rural à habitat dispersé
17099,Chepniers,Rural à habitat dispersé
17100,Chérac,Rural à habitat dispersé
17101,Cherbonnières,Rural à habitat dispersé
17102,Chermignac,Bourgs ruraux
17104,Chevanceaux,Rural à habitat dispersé
17105,Chives,Rural à habitat dispersé
17106,Cierzac,Rural à habitat dispersé
17107,Ciré-d'Aunis,Bourgs ruraux
17108,Clam,Rural à habitat dispersé
17109,Clavette,Petites villes
17110,Clérac,Rural à habitat très dispersé
17111,Clion,Rural à habitat dispersé
17112,La Clisse,Rural à habitat dispersé
17113,La Clotte,Rural à habitat dispersé
17114,Coivert,Rural à habitat très dispersé
17115,Colombiers,Rural à habitat dispersé
17116,Consac,Rural à habitat très dispersé
17117,Contré,Rural à habitat dispersé
17118,Corignac,Rural à habitat dispersé
17119,Corme-Écluse,Rural à habitat dispersé
17120,Corme-Royal,Bourgs ruraux
17121,La Couarde-sur-Mer,Bourgs ruraux
17122,Coulonges,Rural à habitat dispersé
17124,Courant,Rural à habitat dispersé
17125,Courcelles,Rural à habitat dispersé
17126,Courcerac,Rural à habitat dispersé
17127,Courçon,Bourgs ruraux
17128,Courcoury,Rural à habitat dispersé
17129,Courpignac,Rural à habitat très dispersé
17130,Coux,Rural à habitat dispersé
17131,Cozes,Bourgs ruraux
17132,Cram-Chaban,Rural à habitat dispersé
17133,Cravans,Rural à habitat dispersé
17134,Crazannes,Rural à habitat dispersé
17135,Cressé,Rural à habitat dispersé
17136,Croix-Chapeau,Bourgs ruraux
17137,La Croix-Comtesse,Rural à habitat dispersé
17138,Dampierre-sur-Boutonne,Rural à habitat dispersé
17139,Dœuil-sur-le-Mignon,Rural à habitat dispersé
17140,Dolus-d'Oléron,Rural à habitat dispersé
17141,Dompierre-sur-Charente,Rural à habitat dispersé
17142,Dompierre-sur-Mer,Ceintures urbaines
17143,Le Douhet,Rural à habitat dispersé
17145,Échebrune,Rural à habitat dispersé
17146,Échillais,Bourgs ruraux
17147,Écoyeux,Rural à habitat dispersé
17148,Écurat,Rural à habitat dispersé
17149,Les Éduts,Rural à habitat très dispersé
17150,Les Églises-d'Argenteuil,Rural à habitat dispersé
17151,L'Éguille,Bourgs ruraux
17152,Épargnes,Rural à habitat dispersé
17153,Esnandes,Bourgs ruraux
17154,Les Essards,Rural à habitat dispersé
17155,Étaules,Petites villes
17156,Expiremont,Rural à habitat très dispersé
17157,Fenioux,Rural à habitat très dispersé
17158,Ferrières,Bourgs ruraux
17159,Fléac-sur-Seugne,Rural à habitat dispersé
17160,Floirac,Rural à habitat dispersé
17161,La Flotte,Petites villes
17162,Fontaine-Chalendray,Rural à habitat très dispersé
17163,Fontaines-d'Ozillac,Rural à habitat dispersé
17164,Fontcouverte,Rural à habitat dispersé
17165,Fontenet,Rural à habitat dispersé
17166,Forges,Bourgs ruraux
17167,Le Fouilloux,Rural à habitat dispersé
17168,Fouras,Bourgs ruraux
17171,Geay,Rural à habitat dispersé
17172,Gémozac,Rural à habitat dispersé
17173,La Genétouze,Rural à habitat très dispersé
17174,Genouillé,Rural à habitat dispersé
17175,Germignac,Rural à habitat dispersé
17176,Gibourne,Rural à habitat dispersé
17177,Le Gicq,Rural à habitat dispersé
17178,Givrezac,Rural à habitat dispersé
17179,Les Gonds,Bourgs ruraux
17180,Gourvillette,Rural à habitat dispersé
17181,Grandjean,Rural à habitat dispersé
17182,La Grève-sur-Mignon,Rural à habitat dispersé
17183,Grézac,Rural à habitat dispersé
17184,La Gripperie-Saint-Symphorien,Rural à habitat dispersé
17185,Le Gua,Rural à habitat dispersé
17186,Le Gué-d'Alleré,Rural à habitat dispersé
17187,Guitinières,Rural à habitat dispersé
17188,Haimps,Rural à habitat dispersé
17190,L'Houmeau,Ceintures urbaines
17191,La Jard,Rural à habitat dispersé
17192,Jarnac-Champagne,Rural à habitat dispersé
17193,La Jarne,Ceintures urbaines
17194,La Jarrie,Petites villes
17195,La Jarrie-Audouin,Rural à habitat dispersé
17196,Jazennes,Rural à habitat dispersé
17197,Jonzac,Bourgs ruraux
17198,Juicq,Rural à habitat dispersé
17199,Jussas,Rural à habitat très dispersé
17200,Lagord,Grands centres urbains
17201,La Laigne,Rural à habitat dispersé
17202,Landes,Rural à habitat dispersé
17203,Landrais,Rural à habitat dispersé
17204,Léoville,Rural à habitat très dispersé
17205,Loire-les-Marais,Rural à habitat dispersé
17206,Loiré-sur-Nie,Rural à habitat dispersé
17207,Loix,Bourgs ruraux
17208,Longèves,Bourgs ruraux
17209,Lonzac,Rural à habitat dispersé
17210,Lorignac,Rural à habitat dispersé
17211,Loulay,Bourgs ruraux
17212,Louzignac,Rural à habitat dispersé
17213,Lozay,Rural à habitat dispersé
17214,Luchat,Rural à habitat dispersé
17215,Lussac,Rural à habitat dispersé
17216,Lussant,Bourgs ruraux
17217,Macqueville,Rural à habitat dispersé
17218,Marans,Bourgs ruraux
17219,Marennes-Hiers-Brouage,Bourgs ruraux
17220,Marignac,Rural à habitat très dispersé
17221,Marsais,Rural à habitat dispersé
17222,Marsilly,Bourgs ruraux
17223,Massac,Rural à habitat dispersé
17224,Matha,Bourgs ruraux
17225,Les Mathes,Bourgs ruraux
17226,Mazeray,Rural à habitat dispersé
17227,Mazerolles,Rural à habitat dispersé
17228,Médis,Bourgs ruraux
17229,Mérignac,Rural à habitat dispersé
17230,Meschers-sur-Gironde,Bourgs ruraux
17231,Messac,Rural à habitat très dispersé
17232,Meursac,Rural à habitat dispersé
17233,Meux,Rural à habitat très dispersé
17234,Migré,Rural à habitat dispersé
17235,Migron,Rural à habitat dispersé
17236,Mirambeau,Rural à habitat dispersé
17237,Moëze,Rural à habitat dispersé
17239,Mons,Rural à habitat dispersé
17240,Montendre,Bourgs ruraux
17241,Montguyon,Bourgs ruraux
17242,Montils,Rural à habitat dispersé
17243,Montlieu-la-Garde,Rural à habitat dispersé
17244,Montpellier-de-Médillan,Rural à habitat dispersé
17245,Montroy,Petites villes
17246,Moragne,Rural à habitat dispersé
17247,Mornac-sur-Seudre,Bourgs ruraux
17248,Mortagne-sur-Gironde,Bourgs ruraux
17249,Mortiers,Rural à habitat très dispersé
17250,Mosnac,Rural à habitat dispersé
17252,Le Mung,Rural à habitat dispersé
17253,Muron,Rural à habitat dispersé
17254,Nachamps,Rural à habitat dispersé
17255,Nancras,Bourgs ruraux
17256,Nantillé,Rural à habitat dispersé
17257,Néré,Rural à habitat dispersé
17258,Neuillac,Rural à habitat très dispersé
17259,Neulles,Rural à habitat très dispersé
17260,Neuvicq,Rural à habitat très dispersé
17261,Neuvicq-le-Château,Rural à habitat dispersé
17262,Nieul-lès-Saintes,Rural à habitat dispersé
17263,Nieul-le-Virouil,Rural à habitat dispersé
17264,Nieul-sur-Mer,Ceintures urbaines
17265,Nieulle-sur-Seudre,Bourgs ruraux
17266,Les Nouillers,Rural à habitat dispersé
17267,Nuaillé-d'Aunis,Bourgs ruraux
17268,Rives-de-Boutonne,Rural à habitat dispersé
17269,Orignolles,Rural à habitat dispersé
17270,Ozillac,Rural à habitat très dispersé
17271,Paillé,Rural à habitat dispersé
17273,Pérignac,Rural à habitat dispersé
17274,Périgny,Ceintures urbaines
17275,Pessines,Rural à habitat dispersé
17276,Le Pin,Rural à habitat très dispersé
17277,Essouvert,Rural à habitat dispersé
17278,Pisany,Bourgs ruraux
17279,Plassac,Bourgs ruraux
17280,Plassay,Rural à habitat dispersé
17281,Polignac,Rural à habitat dispersé
17282,Pommiers-Moulons,Rural à habitat très dispersé
17283,Pons,Bourgs ruraux
17284,Pont-l'Abbé-d'Arnoult,Rural à habitat dispersé
17285,Port-d'Envaux,Rural à habitat dispersé
17286,Les Portes-en-Ré,Rural à habitat dispersé
17287,Pouillac,Rural à habitat dispersé
17288,Poursay-Garnaud,Rural à habitat dispersé
17289,Préguillac,Rural à habitat dispersé
17290,Prignac,Rural à habitat dispersé
17291,Puilboreau,Ceintures urbaines
17292,Puy-du-Lac,Rural à habitat dispersé
17293,Puyravault,Rural à habitat dispersé
17294,Puyrolland,Rural à habitat très dispersé
17295,Réaux sur Trèfle,Rural à habitat dispersé
17296,Rétaud,Rural à habitat dispersé
17297,Rivedoux-Plage,Bourgs ruraux
17298,Rioux,Rural à habitat dispersé
17299,Rochefort,Centres urbains intermédiaires
17300,La Rochelle,Grands centres urbains
17301,Romazières,Rural à habitat très dispersé
17302,Romegoux,Rural à habitat dispersé
