insee_com,lib_com,niveau_centralite
18027,Bengy-sur-Craon,Centre local d'équipements et de services
18028,Berry-Bouy,Centre local d'équipements et de services
18029,Bessais-le-Fromental,Communes non centre
18030,Blancafort,Centre local d'équipements et de services
18031,Blet,Communes non centre
18032,Boulleret,Centre local d'équipements et de services
18033,Bourges,Centre majeur d'équipements et de services
18034,Bouzais,Communes non centre
18035,Brécy,Communes non centre
18036,Brinay,Communes non centre
18037,Brinon-sur-Sauldre,Centre local d'équipements et de services
18038,Bruère-Allichamps,Centre local d'équipements et de services
18039,Bué,Communes non centre
18040,Bussy,Communes non centre
18041,La Celette,Communes non centre
18042,La Celle,Communes non centre
18043,La Celle-Condé,Communes non centre
18044,Cerbois,Communes non centre
18045,Chalivoy-Milon,Communes non centre
18046,Chambon,Communes non centre
18047,La Chapelle-d'Angillon,Centre local d'équipements et de services
18048,La Chapelle-Hugon,Communes non centre
18049,La Chapelle-Montlinard,Communes non centre
18050,La Chapelle-Saint-Ursin,Centre local d'équipements et de services
18051,La Chapelotte,Communes non centre
18052,Charenton-du-Cher,Centre local d'équipements et de services
18053,Charentonnay,Communes non centre
18054,Charly,Communes non centre
18055,Chârost,Centre local d'équipements et de services
18056,Chassy,Communes non centre
18057,Châteaumeillant,Centre intermédiaire d'équipements et de services
18058,Châteauneuf-sur-Cher,Centre local d'équipements et de services
18059,Le Châtelet,Centre local d'équipements et de services
18060,Chaumont,Communes non centre
18061,Chaumoux-Marcilly,Communes non centre
18062,Le Chautay,Communes non centre
18063,Chavannes,Communes non centre
18064,Chéry,Communes non centre
18065,Chezal-Benoît,Centre local d'équipements et de services
18066,Civray,Communes non centre
18067,Clémont,Centre local d'équipements et de services
18068,Cogny,Communes non centre
18069,Colombiers,Communes non centre
18070,Concressault,Communes non centre
18071,Contres,Communes non centre
18072,Cornusse,Communes non centre
18073,Corquoy,Communes non centre
18074,Couargues,Communes non centre
18075,Cours-les-Barres,Centre local d'équipements et de services
18076,Coust,Communes non centre
18077,Couy,Communes non centre
18078,Crézançay-sur-Cher,Communes non centre
18079,Crézancy-en-Sancerre,Communes non centre
18080,Croisy,Communes non centre
18081,Crosses,Communes non centre
18082,Cuffy,Centre local d'équipements et de services
18083,Culan,Centre local d'équipements et de services
18084,Dampierre-en-Crot,Communes non centre
18085,Dampierre-en-Graçay,Communes non centre
18086,Drevant,Communes non centre
18087,Dun-sur-Auron,Centre intermédiaire d'équipements et de services
18088,Ennordres,Communes non centre
18089,Épineuil-le-Fleuriel,Communes non centre
18090,Étréchy,Communes non centre
18091,Farges-Allichamps,Communes non centre
18092,Farges-en-Septaine,Communes non centre
18093,Faverdines,Communes non centre
18094,Feux,Communes non centre
18095,Flavigny,Communes non centre
18096,Foëcy,Centre local d'équipements et de services
18097,Fussy,Centre local d'équipements et de services
18098,Gardefort,Communes non centre
18099,Garigny,Communes non centre
18100,Genouilly,Communes non centre
18101,Germigny-l'Exempt,Communes non centre
18102,Givardon,Communes non centre
18103,Graçay,Centre local d'équipements et de services
18104,Groises,Communes non centre
18105,Gron,Communes non centre
18106,Grossouvre,Communes non centre
18107,La Groutte,Communes non centre
18108,La Guerche-sur-l'Aubois,Centre intermédiaire d'équipements et de services
18109,Henrichemont,Centre intermédiaire d'équipements et de services
18110,Herry,Centre local d'équipements et de services
18111,Humbligny,Communes non centre
18112,Ids-Saint-Roch,Communes non centre
18113,Ignol,Communes non centre
18114,Ineuil,Communes non centre
18115,Ivoy-le-Pré,Centre local d'équipements et de services
18116,Jalognes,Communes non centre
18117,Jars,Centre local d'équipements et de services
18118,Jouet-sur-l'Aubois,Centre local d'équipements et de services
18119,Jussy-Champagne,Communes non centre
18120,Jussy-le-Chaudrier,Communes non centre
18121,Lantan,Communes non centre
18122,Lapan,Communes non centre
18124,Lazenay,Communes non centre
18125,Léré,Centre local d'équipements et de services
18126,Levet,Centre local d'équipements et de services
18127,Lignières,Centre intermédiaire d'équipements et de services
18128,Limeux,Communes non centre
18129,Lissay-Lochy,Communes non centre
18130,Loye-sur-Arnon,Communes non centre
18132,Lugny-Champagne,Communes non centre
18133,Lunery,Centre local d'équipements et de services
18134,Lury-sur-Arnon,Centre local d'équipements et de services
18135,Maisonnais,Communes non centre
18136,Marçais,Communes non centre
18137,Mareuil-sur-Arnon,Centre local d'équipements et de services
18138,Marmagne,Centre local d'équipements et de services
18139,Marseilles-lès-Aubigny,Communes non centre
18140,Massay,Centre local d'équipements et de services
18141,Mehun-sur-Yèvre,Centre intermédiaire d'équipements et de services
18142,Meillant,Communes non centre
18143,Menetou-Couture,Communes non centre
18144,Menetou-Râtel,Communes non centre
18145,Menetou-Salon,Centre local d'équipements et de services
18146,Ménétréol-sous-Sancerre,Communes non centre
18147,Ménétréol-sur-Sauldre,Communes non centre
18148,Méreau,Centre local d'équipements et de services
18149,Méry-ès-Bois,Communes non centre
18150,Méry-sur-Cher,Communes non centre
18151,Montigny,Communes non centre
18152,Montlouis,Communes non centre
18153,Morlac,Communes non centre
18154,Mornay-Berry,Communes non centre
18155,Mornay-sur-Allier,Communes non centre
18156,Morogues,Communes non centre
18157,Morthomiers,Communes non centre
18158,Moulins-sur-Yèvre,Communes non centre
18159,Nançay,Centre local d'équipements et de services
18160,Nérondes,Centre intermédiaire d'équipements et de services
18161,Neuilly-en-Dun,Communes non centre
18162,Neuilly-en-Sancerre,Communes non centre
18163,Neuvy-Deux-Clochers,Communes non centre
18164,Neuvy-le-Barrois,Communes non centre
18165,Neuvy-sur-Barangeon,Centre local d'équipements et de services
18166,Nohant-en-Goût,Communes non centre
18167,Nohant-en-Graçay,Communes non centre
18168,Le Noyer,Communes non centre
18169,Nozières,Communes non centre
18170,Oizon,Communes non centre
18171,Orcenais,Communes non centre
18172,Orval,Centre local d'équipements et de services
18173,Osmery,Communes non centre
18174,Osmoy,Communes non centre
18175,Ourouer-les-Bourdelins,Centre local d'équipements et de services
18176,Parassy,Communes non centre
18177,Parnay,Communes non centre
18178,La Perche,Communes non centre
18179,Pigny,Communes non centre
18180,Plaimpied-Givaudins,Centre local d'équipements et de services
18181,Plou,Communes non centre
18182,Poisieux,Communes non centre
18183,Le Pondy,Communes non centre
18184,Précy,Communes non centre
18185,Presly,Communes non centre
18186,Preuilly,Communes non centre
18187,Préveranges,Centre local d'équipements et de services
18188,Primelles,Communes non centre
18189,Quantilly,Communes non centre
18190,Quincy,Communes non centre
18191,Raymond,Communes non centre
18192,Reigny,Communes non centre
18193,Rezay,Communes non centre
18194,Rians,Communes non centre
18195,Sagonne,Communes non centre
18196,Saint-Aignan-des-Noyers,Communes non centre
18197,Saint-Amand-Montrond,Centre structurant d'équipements et de services
18198,Saint-Ambroix,Communes non centre
18199,Saint-Baudel,Communes non centre
18200,Saint-Bouize,Communes non centre
18201,Saint-Caprais,Communes non centre
18202,Saint-Céols,Communes non centre
18203,Saint-Christophe-le-Chaudry,Communes non centre
18204,Saint-Denis-de-Palin,Communes non centre
18205,Saint-Doulchard,Centre structurant d'équipements et de services
18206,Saint-Éloy-de-Gy,Centre local d'équipements et de services
18207,Saint-Florent-sur-Cher,Centre intermédiaire d'équipements et de services
18208,Sainte-Gemme-en-Sancerrois,Communes non centre
18209,Saint-Georges-de-Poisieux,Communes non centre
18210,Saint-Georges-sur-la-Prée,Communes non centre
18211,Saint-Georges-sur-Moulon,Communes non centre
18212,Saint-Germain-des-Bois,Communes non centre
18213,Saint-Germain-du-Puy,Centre intermédiaire d'équipements et de services
18214,Saint-Hilaire-de-Court,Communes non centre
18215,Saint-Hilaire-de-Gondilly,Communes non centre
18216,Saint-Hilaire-en-Lignières,Communes non centre
18217,Saint-Jeanvrin,Communes non centre
18218,Saint-Just,Communes non centre
18219,Saint-Laurent,Communes non centre
18220,Saint-Léger-le-Petit,Communes non centre
18221,Saint-Loup-des-Chaumes,Communes non centre
18223,Saint-Martin-d'Auxigny,Centre intermédiaire d'équipements et de services
18224,Saint-Martin-des-Champs,Communes non centre
18225,Saint-Maur,Communes non centre
18226,Saint-Michel-de-Volangis,Communes non centre
18227,Sainte-Montaine,Communes non centre
18228,Saint-Outrille,Communes non centre
18229,Saint-Palais,Communes non centre
18230,Saint-Pierre-les-Bois,Communes non centre
18231,Saint-Pierre-les-Étieux,Communes non centre
18232,Saint-Priest-la-Marche,Communes non centre
18233,Saint-Satur,Centre intermédiaire d'équipements et de services
18234,Saint-Saturnin,Communes non centre
18235,Sainte-Solange,Centre local d'équipements et de services
18236,Saint-Symphorien,Communes non centre
18237,Sainte-Thorette,Communes non centre
18238,Saint-Vitte,Communes non centre
18240,Sancergues,Centre local d'équipements et de services
18241,Sancerre,Centre intermédiaire d'équipements et de services
18242,Sancoins,Centre intermédiaire d'équipements et de services
18243,Santranges,Communes non centre
18244,Saugy,Communes non centre
18245,Saulzais-le-Potier,Centre local d'équipements et de services
18246,Savigny-en-Sancerre,Centre local d'équipements et de services
18247,Savigny-en-Septaine,Communes non centre
18248,Senneçay,Communes non centre
18249,Sens-Beaujeu,Communes non centre
18250,Serruelles,Communes non centre
18251,Sévry,Communes non centre
18252,Sidiailles,Communes non centre
18253,Soulangis,Communes non centre
18254,Soye-en-Septaine,Communes non centre
18255,Le Subdray,Communes non centre
18256,Subligny,Communes non centre
18257,Sury-près-Léré,Communes non centre
18258,Sury-en-Vaux,Communes non centre
18259,Sury-ès-Bois,Communes non centre
18260,Tendron,Communes non centre
18261,Thaumiers,Communes non centre
18262,Thauvenay,Communes non centre
18263,Thénioux,Communes non centre
18264,Thou,Communes non centre
18265,Torteron,Communes non centre
18266,Touchay,Communes non centre
18267,Trouy,Centre local d'équipements et de services
18268,Uzay-le-Venon,Communes non centre
18269,Vailly-sur-Sauldre,Centre local d'équipements et de services
18270,Vallenay,Centre local d'équipements et de services
18271,Vasselay,Centre local d'équipements et de services
18272,Veaugues,Centre local d'équipements et de services
18273,Venesmes,Communes non centre
18274,Verdigny,Communes non centre
18275,Vereaux,Communes non centre
18276,Vernais,Communes non centre
18277,Verneuil,Communes non centre
18278,Vesdun,Communes non centre
18279,Vierzon,Centre structurant d'équipements et de services
18280,Vignoux-sous-les-Aix,Communes non centre
18281,Vignoux-sur-Barangeon,Centre local d'équipements et de services
18282,Villabon,Communes non centre
18283,Villecelin,Communes non centre
18284,Villegenon,Communes non centre
18285,Villeneuve-sur-Cher,Communes non centre
18286,Villequiers,Communes non centre
18287,Vinon,Communes non centre
18288,Vorly,Communes non centre
18289,Vornay,Communes non centre
18290,Vouzeron,Communes non centre
19001,Affieux,Communes non centre
19002,Aix,Communes non centre
19003,Albignac,Communes non centre
19004,Albussac,Centre local d'équipements et de services
19005,Allassac,Centre intermédiaire d'équipements et de services
19006,Alleyrat,Communes non centre
19007,Altillac,Centre local d'équipements et de services
19008,Ambrugeat,Communes non centre
19009,Les Angles-sur-Corrèze,Communes non centre
19010,Argentat-sur-Dordogne,Centre intermédiaire d'équipements et de services
19011,Arnac-Pompadour,Centre intermédiaire d'équipements et de services
19012,Astaillac,Communes non centre
19013,Aubazines,Centre local d'équipements et de services
19014,Auriac,Communes non centre
19015,Ayen,Centre local d'équipements et de services
19016,Bar,Communes non centre
19017,Bassignac-le-Bas,Communes non centre
19018,Bassignac-le-Haut,Communes non centre
19019,Beaulieu-sur-Dordogne,Centre intermédiaire d'équipements et de services
19020,Beaumont,Communes non centre
19021,Bellechassagne,Communes non centre
19022,Benayes,Communes non centre
19023,Beynat,Centre local d'équipements et de services
19024,Beyssac,Communes non centre
19025,Beyssenac,Communes non centre
19026,Bilhac,Communes non centre
19027,Bonnefond,Communes non centre
19028,Bort-les-Orgues,Centre intermédiaire d'équipements et de services
19029,Branceilles,Communes non centre
19030,Brignac-la-Plaine,Communes non centre
19031,Brive-la-Gaillarde,Centre majeur d'équipements et de services
19033,Bugeat,Centre local d'équipements et de services
19034,Camps-Saint-Mathurin-Léobazel,Communes non centre
19035,Chabrignac,Communes non centre
19036,Chamberet,Centre local d'équipements et de services
19037,Chamboulive,Centre local d'équipements et de services
19038,Chameyrat,Centre local d'équipements et de services
19039,Champagnac-la-Noaille,Communes non centre
19040,Champagnac-la-Prune,Communes non centre
19041,Chanac-les-Mines,Communes non centre
19042,Chanteix,Communes non centre
19043,La Chapelle-aux-Brocs,Communes non centre
19044,La Chapelle-aux-Saints,Communes non centre
19045,La Chapelle-Saint-Géraud,Communes non centre
19046,Chapelle-Spinasse,Communes non centre
19047,Chartrier-Ferrière,Communes non centre
19048,Le Chastang,Communes non centre
19049,Chasteaux,Communes non centre
19050,Chauffour-sur-Vell,Communes non centre
19051,Chaumeil,Communes non centre
19052,Chavanac,Communes non centre
19053,Chaveroche,Communes non centre
19054,Chenailler-Mascheix,Communes non centre
19055,Chirac-Bellevue,Communes non centre
19056,Clergoux,Communes non centre
19057,Collonges-la-Rouge,Communes non centre
19058,Combressol,Communes non centre
19059,Concèze,Communes non centre
19060,Condat-sur-Ganaveix,Communes non centre
19061,Cornil,Centre local d'équipements et de services
19062,Corrèze,Centre local d'équipements et de services
19063,Cosnac,Centre local d'équipements et de services
19064,Couffy-sur-Sarsonne,Communes non centre
19065,Courteix,Communes non centre
19066,Cublac,Centre local d'équipements et de services
19067,Curemonte,Communes non centre
19068,Dampniat,Communes non centre
19069,Darazac,Communes non centre
19070,Darnets,Communes non centre
19071,Davignac,Communes non centre
19072,Donzenac,Centre local d'équipements et de services
19073,Égletons,Centre intermédiaire d'équipements et de services
19074,L'Église-aux-Bois,Communes non centre
19075,Espagnac,Communes non centre
19076,Espartignac,Communes non centre
19077,Estivals,Communes non centre
19078,Estivaux,Communes non centre
19079,Eyburie,Communes non centre
19080,Eygurande,Centre local d'équipements et de services
19081,Eyrein,Communes non centre
19082,Favars,Centre local d'équipements et de services
19083,Feyt,Communes non centre
19084,Forgès,Communes non centre
19085,Gimel-les-Cascades,Communes non centre
19086,Goulles,Communes non centre
19087,Gourdon-Murat,Communes non centre
19088,Grandsaigne,Communes non centre
19089,Gros-Chastang,Communes non centre
19090,Gumond,Communes non centre
19091,Hautefage,Communes non centre
19093,Jugeals-Nazareth,Communes non centre
19094,Juillac,Centre local d'équipements et de services
19095,Lacelle,Communes non centre
19096,Ladignac-sur-Rondelles,Communes non centre
19097,Lafage-sur-Sombre,Communes non centre
19098,Lagarde-Marc-la-Tour,Centre local d'équipements et de services
19099,Lagleygeolle,Communes non centre
19100,Lagraulière,Centre local d'équipements et de services
19101,Laguenne-sur-Avalouze,Centre local d'équipements et de services
19102,Lamazière-Basse,Communes non centre
19103,Lamazière-Haute,Communes non centre
19104,Lamongerie,Communes non centre
19105,Lanteuil,Communes non centre
19106,Lapleau,Centre local d'équipements et de services
19107,Larche,Centre local d'équipements et de services
19108,Laroche-près-Feyt,Communes non centre
19109,Lascaux,Communes non centre
19110,Latronche,Communes non centre
19111,Laval-sur-Luzège,Communes non centre
19112,Lestards,Communes non centre
19113,Liginiac,Centre local d'équipements et de services
19114,Lignareix,Communes non centre
19115,Ligneyrac,Communes non centre
19116,Liourdres,Communes non centre
19117,Lissac-sur-Couze,Communes non centre
19118,Le Lonzac,Centre local d'équipements et de services
19119,Lostanges,Communes non centre
19120,Louignac,Communes non centre
19121,Lubersac,Centre intermédiaire d'équipements et de services
19122,Madranges,Communes non centre
19123,Malemort,Centre intermédiaire d'équipements et de services
19124,Mansac,Centre local d'équipements et de services
19125,Marcillac-la-Croisille,Centre local d'équipements et de services
19126,Marcillac-la-Croze,Communes non centre
19128,Margerides,Communes non centre
19129,Masseret,Centre local d'équipements et de services
19130,Maussac,Communes non centre
19131,Meilhards,Communes non centre
19132,Ménoire,Communes non centre
19133,Mercœur,Communes non centre
19134,Merlines,Centre local d'équipements et de services
19135,Mestes,Communes non centre
19136,Meymac,Centre intermédiaire d'équipements et de services
19137,Meyrignac-l'Église,Communes non centre
19138,Meyssac,Centre intermédiaire d'équipements et de services
19139,Millevaches,Communes non centre
19140,Monceaux-sur-Dordogne,Communes non centre
19141,Monestier-Merlines,Communes non centre
19142,Monestier-Port-Dieu,Communes non centre
19143,Montaignac-sur-Doustre,Centre local d'équipements et de services
19144,Montgibaud,Communes non centre
19145,Moustier-Ventadour,Communes non centre
19146,Naves,Centre local d'équipements et de services
19147,Nespouls,Centre local d'équipements et de services
19148,Neuvic,Centre intermédiaire d'équipements et de services
19149,Neuville,Communes non centre
19150,Noailhac,Communes non centre
19151,Noailles,Communes non centre
19152,Nonards,Communes non centre
19153,Objat,Centre intermédiaire d'équipements et de services
19154,Orgnac-sur-Vézère,Communes non centre
19155,Orliac-de-Bar,Communes non centre
19156,Palazinges,Communes non centre
19157,Palisse,Communes non centre
19158,Pandrignes,Communes non centre
19159,Péret-Bel-Air,Communes non centre
19160,Pérols-sur-Vézère,Communes non centre
19161,Perpezac-le-Blanc,Communes non centre
19162,Perpezac-le-Noir,Centre local d'équipements et de services
19163,Le Pescher,Communes non centre
19164,Peyrelevade,Centre local d'équipements et de services
19165,Peyrissac,Communes non centre
19166,Pierrefitte,Communes non centre
19167,Confolent-Port-Dieu,Communes non centre
19168,Pradines,Communes non centre
19169,Puy-d'Arnac,Communes non centre
19170,Queyssac-les-Vignes,Communes non centre
19171,Reygade,Communes non centre
19172,Rilhac-Treignac,Communes non centre
19173,Rilhac-Xaintrie,Communes non centre
19174,La Roche-Canillac,Communes non centre
19175,Roche-le-Peyroux,Communes non centre
19176,Rosiers-d'Égletons,Centre local d'équipements et de services
19177,Rosiers-de-Juillac,Communes non centre
19178,Sadroc,Centre local d'équipements et de services
19179,Saillac,Communes non centre
19180,Saint-Angel,Centre local d'équipements et de services
19181,Saint-Augustin,Communes non centre
19182,Saint-Aulaire,Centre local d'équipements et de services
19184,Saint-Bazile-de-Meyssac,Communes non centre
19186,Saint-Bonnet-Elvert,Communes non centre
19187,Saint-Bonnet-la-Rivière,Communes non centre
19188,Saint-Bonnet-l'Enfantier,Communes non centre
19189,Saint-Bonnet-les-Tours-de-Merle,Communes non centre
19190,Saint-Bonnet-près-Bort,Communes non centre
19191,Saint-Cernin-de-Larche,Communes non centre
19192,Saint-Chamant,Communes non centre
19193,Saint-Cirgues-la-Loutre,Communes non centre
19194,Saint-Clément,Centre local d'équipements et de services
19195,Saint-Cyprien,Communes non centre
19196,Saint-Cyr-la-Roche,Communes non centre
19198,Saint-Éloy-les-Tuileries,Communes non centre
19199,Saint-Étienne-aux-Clos,Communes non centre
19200,Saint-Étienne-la-Geneste,Communes non centre
19201,Saint-Exupéry-les-Roches,Communes non centre
19202,Sainte-Féréole,Centre local d'équipements et de services
19203,Sainte-Fortunade,Centre local d'équipements et de services
19204,Saint-Fréjoux,Communes non centre
19205,Saint-Geniez-ô-Merle,Communes non centre
19206,Saint-Germain-Lavolps,Communes non centre
19207,Saint-Germain-les-Vergnes,Centre local d'équipements et de services
19208,Saint-Hilaire-Foissac,Communes non centre
19209,Saint-Hilaire-les-Courbes,Communes non centre
19210,Saint-Hilaire-Luc,Communes non centre
19211,Saint-Hilaire-Peyroux,Centre local d'équipements et de services
19212,Saint-Hilaire-Taurieux,Communes non centre
19213,Saint-Jal,Communes non centre
19214,Saint-Julien-aux-Bois,Communes non centre
19215,Saint-Julien-le-Pèlerin,Communes non centre
19216,Saint-Julien-le-Vendômois,Communes non centre
19217,Saint-Julien-Maumont,Communes non centre
19219,Sainte-Marie-Lapanouze,Communes non centre
19220,Saint-Martial-de-Gimel,Communes non centre
19221,Saint-Martial-Entraygues,Communes non centre
19222,Saint-Martin-la-Méanne,Communes non centre
19225,Saint-Merd-de-Lapleau,Communes non centre
19226,Saint-Merd-les-Oussines,Communes non centre
19227,Saint-Mexant,Centre local d'équipements et de services
19228,Saint-Pantaléon-de-Lapleau,Communes non centre
19229,Saint-Pantaléon-de-Larche,Centre local d'équipements et de services
19231,Saint-Pardoux-la-Croisille,Communes non centre
19232,Saint-Pardoux-le-Neuf,Communes non centre
19233,Saint-Pardoux-le-Vieux,Communes non centre
19234,Saint-Pardoux-l'Ortigier,Communes non centre
19235,Saint-Paul,Communes non centre
19236,Saint-Priest-de-Gimel,Centre local d'équipements et de services
19237,Saint-Privat,Centre local d'équipements et de services
19238,Saint-Rémy,Communes non centre
19239,Saint-Robert,Communes non centre
19240,Saint-Salvadour,Communes non centre
19241,Saint-Setiers,Communes non centre
19242,Saint-Solve,Communes non centre
19243,Saint-Sornin-Lavolps,Centre local d'équipements et de services
19244,Saint-Sulpice-les-Bois,Communes non centre
19245,Saint-Sylvain,Communes non centre
19246,Saint-Viance,Centre local d'équipements et de services
19247,Saint-Victour,Communes non centre
19248,Les Trois-Saints,Communes non centre
19249,Saint-Yrieix-le-Déjalat,Communes non centre
19250,Salon-la-Tour,Communes non centre
19251,Sarran,Communes non centre
19252,Sarroux - Saint Julien,Communes non centre
19253,Segonzac,Communes non centre
19254,Ségur-le-Château,Communes non centre
19255,Seilhac,Centre intermédiaire d'équipements et de services
19256,Sérandon,Communes non centre
19257,Sérilhac,Communes non centre
19258,Servières-le-Château,Centre local d'équipements et de services
19259,Sexcles,Communes non centre
19260,Sioniac,Communes non centre
19261,Sornac,Centre local d'équipements et de services
19262,Soudaine-Lavinadière,Communes non centre
19263,Soudeilles,Communes non centre
19264,Soursac,Centre local d'équipements et de services
19265,Tarnac,Communes non centre
19266,Thalamy,Communes non centre
19268,Toy-Viam,Communes non centre
19269,Treignac,Centre intermédiaire d'équipements et de services
19270,Troche,Communes non centre
19271,Tudeils,Communes non centre
19272,Tulle,Centre majeur d'équipements et de services
19273,Turenne,Centre local d'équipements et de services
19274,Ussac,Centre local d'équipements et de services
19275,Ussel,Centre structurant d'équipements et de services
19276,Uzerche,Centre intermédiaire d'équipements et de services
19277,Valiergues,Communes non centre
19278,Varetz,Centre intermédiaire d'équipements et de services
19279,Vars-sur-Roseix,Communes non centre
19280,Végennes,Communes non centre
19281,Veix,Communes non centre
19283,Veyrières,Communes non centre
19284,Viam,Communes non centre
19285,Vigeois,Centre local d'équipements et de services
19286,Vignols,Communes non centre
19287,Vitrac-sur-Montane,Communes non centre
19288,Voutezac,Communes non centre
19289,Yssandon,Communes non centre
21001,Agencourt,Communes non centre
21002,Agey,Communes non centre
21003,Ahuy,Centre local d'équipements et de services
21004,Aignay-le-Duc,Centre local d'équipements et de services
21005,Aiserey,Centre local d'équipements et de services
21006,Aisey-sur-Seine,Communes non centre
21007,Aisy-sous-Thil,Communes non centre
21008,Alise-Sainte-Reine,Communes non centre
21009,Allerey,Communes non centre
21010,Aloxe-Corton,Communes non centre
21011,Ampilly-les-Bordes,Communes non centre
21012,Ampilly-le-Sec,Communes non centre
21013,Ancey,Communes non centre
21014,Antheuil,Communes non centre
21015,Antigny-la-Ville,Communes non centre
21016,Arceau,Communes non centre
21017,Arcenant,Communes non centre
21018,Arcey,Communes non centre
21020,Arconcey,Communes non centre
21021,Arc-sur-Tille,Centre local d'équipements et de services
21022,Argilly,Communes non centre
21023,Arnay-le-Duc,Centre intermédiaire d'équipements et de services
21024,Arnay-sous-Vitteaux,Communes non centre
21025,Arrans,Communes non centre
21026,Asnières-en-Montagne,Communes non centre
21027,Asnières-lès-Dijon,Centre local d'équipements et de services
21028,Athée,Communes non centre
21029,Athie,Communes non centre
21030,Aubaine,Communes non centre
21031,Aubigny-en-Plaine,Communes non centre
21032,Aubigny-la-Ronce,Communes non centre
21033,Aubigny-lès-Sombernon,Communes non centre
21034,Autricourt,Communes non centre
21035,Auvillars-sur-Saône,Communes non centre
21036,Auxant,Communes non centre
21037,Auxey-Duresses,Communes non centre
21038,Auxonne,Centre intermédiaire d'équipements et de services
21039,Avelanges,Communes non centre
21040,Avosnes,Communes non centre
21041,Avot,Communes non centre
21042,Bagnot,Communes non centre
21043,Baigneux-les-Juifs,Centre local d'équipements et de services
21044,Balot,Communes non centre
21045,Barbirey-sur-Ouche,Communes non centre
21046,Bard-le-Régulier,Communes non centre
21047,Bard-lès-Époisses,Communes non centre
21048,Barges,Communes non centre
21049,Barjon,Communes non centre
21050,Baubigny,Communes non centre
21051,Baulme-la-Roche,Communes non centre
21052,Beaulieu,Communes non centre
21053,Beaumont-sur-Vingeanne,Communes non centre
21054,Beaune,Centre structurant d'équipements et de services
21055,Beaunotte,Communes non centre
21056,Beire-le-Châtel,Centre local d'équipements et de services
21057,Beire-le-Fort,Communes non centre
21058,Belan-sur-Ource,Communes non centre
21059,Bellefond,Centre local d'équipements et de services
21060,Belleneuve,Centre local d'équipements et de services
21061,Bellenod-sur-Seine,Communes non centre
21062,Bellenot-sous-Pouilly,Communes non centre
21063,Beneuvre,Communes non centre
21064,Benoisey,Communes non centre
21065,Bessey-en-Chaume,Communes non centre
21066,Bessey-la-Cour,Communes non centre
21067,Bessey-lès-Cîteaux,Communes non centre
21068,Beurey-Bauguay,Communes non centre
21069,Beurizot,Communes non centre
21070,Bévy,Communes non centre
21071,Bèze,Centre local d'équipements et de services
21072,Bézouotte,Communes non centre
21074,Billey,Communes non centre
21075,Billy-lès-Chanceaux,Communes non centre
21076,Binges,Centre local d'équipements et de services
21077,Bissey-la-Côte,Communes non centre
21078,Bissey-la-Pierre,Communes non centre
21079,Blagny-sur-Vingeanne,Communes non centre
21080,Blaisy-Bas,Centre local d'équipements et de services
21081,Blaisy-Haut,Communes non centre
21082,Blancey,Communes non centre
21083,Blanot,Communes non centre
21084,Source-Seine,Communes non centre
21085,Bligny-le-Sec,Communes non centre
21086,Bligny-lès-Beaune,Centre local d'équipements et de services
21087,Bligny-sur-Ouche,Centre local d'équipements et de services
21088,Boncourt-le-Bois,Communes non centre
21089,Bonnencontre,Communes non centre
21090,Boudreville,Communes non centre
21091,Bouhey,Communes non centre
21092,Bouilland,Communes non centre
21093,Bouix,Communes non centre
21094,Bourberain,Communes non centre
21095,Bousselange,Communes non centre
21096,Boussenois,Communes non centre
21097,Boussey,Communes non centre
21098,Boux-sous-Salmaise,Communes non centre
21099,Bouze-lès-Beaune,Communes non centre
21100,Brain,Communes non centre
21101,Braux,Communes non centre
21102,Brazey-en-Morvan,Communes non centre
21103,Brazey-en-Plaine,Centre intermédiaire d'équipements et de services
21104,Brémur-et-Vaurois,Communes non centre
21105,Bressey-sur-Tille,Communes non centre
21106,Bretenière,Centre local d'équipements et de services
21107,Bretigny,Communes non centre
21108,Brianny,Communes non centre
21109,Brion-sur-Ource,Communes non centre
21110,Brochon,Communes non centre
21111,Brognon,Communes non centre
21112,Broin,Communes non centre
21113,Broindon,Communes non centre
21114,Buffon,Communes non centre
21115,Buncey,Communes non centre
21116,Bure-les-Templiers,Communes non centre
21117,Busseaut,Communes non centre
21118,Busserotte-et-Montenaille,Communes non centre
21119,Bussières,Communes non centre
21120,La Bussière-sur-Ouche,Communes non centre
21121,Bussy-la-Pesle,Communes non centre
21122,Bussy-le-Grand,Communes non centre
21123,Buxerolles,Communes non centre
21124,Censerey,Communes non centre
21125,Cérilly,Communes non centre
21126,Cessey-sur-Tille,Communes non centre
21127,Chaignay,Communes non centre
21128,Chailly-sur-Armançon,Communes non centre
21129,Chambain,Communes non centre
21130,Chambeire,Communes non centre
21131,Chamblanc,Communes non centre
21132,Chambœuf,Communes non centre
21133,Chambolle-Musigny,Communes non centre
21134,Chamesson,Communes non centre
21135,Champagne-sur-Vingeanne,Communes non centre
21136,Champagny,Communes non centre
21137,Champ-d'Oiseau,Communes non centre
21138,Champdôtre,Communes non centre
21139,Champeau-en-Morvan,Communes non centre
21140,Champignolles,Communes non centre
21141,Champrenault,Communes non centre
21142,Chanceaux,Communes non centre
21143,Channay,Communes non centre
21144,Charencey,Communes non centre
21145,Charigny,Communes non centre
21146,Charmes,Communes non centre
21147,Charny,Communes non centre
21148,Charrey-sur-Saône,Communes non centre
21149,Charrey-sur-Seine,Communes non centre
