insee_com,lib_com,niveau_centralite
01187,Haut Valromey,Centre local d'équipements et de services
01188,Illiat,Communes non centre
01189,Injoux-Génissiat,Communes non centre
01190,Innimond,Communes non centre
01191,Izenave,Communes non centre
01192,Izernore,Centre local d'équipements et de services
01193,Izieu,Communes non centre
01194,Jassans-Riottier,Centre intermédiaire d'équipements et de services
01195,Jasseron,Centre local d'équipements et de services
01196,Jayat,Centre local d'équipements et de services
01197,Journans,Communes non centre
01198,Joyeux,Communes non centre
01199,Jujurieux,Centre local d'équipements et de services
01200,Labalme,Communes non centre
01202,Lagnieu,Centre intermédiaire d'équipements et de services
01203,Laiz,Centre local d'équipements et de services
01204,Le Poizat-Lalleyriat,Communes non centre
01206,Lantenay,Communes non centre
01207,Lapeyrouse,Communes non centre
01208,Lavours,Communes non centre
01209,Léaz,Communes non centre
01210,Lélex,Centre local d'équipements et de services
01211,Lent,Centre local d'équipements et de services
01212,Lescheroux,Communes non centre
01213,Leyment,Centre local d'équipements et de services
01214,Leyssard,Communes non centre
01215,Surjoux-Lhopital,Communes non centre
01216,Lhuis,Centre local d'équipements et de services
01219,Lompnas,Communes non centre
01224,Loyettes,Centre local d'équipements et de services
01225,Lurcy,Communes non centre
01227,Magnieu,Communes non centre
01228,Maillat,Centre local d'équipements et de services
01229,Malafretaz,Centre local d'équipements et de services
01230,Mantenay-Montlin,Communes non centre
01231,Manziat,Centre local d'équipements et de services
01232,Marboz,Centre local d'équipements et de services
01233,Marchamp,Communes non centre
01234,Marignieu,Communes non centre
01235,Marlieux,Centre local d'équipements et de services
01236,Marsonnas,Communes non centre
01237,Martignat,Centre local d'équipements et de services
01238,Massieux,Centre local d'équipements et de services
01239,Massignieu-de-Rives,Communes non centre
01240,Matafelon-Granges,Communes non centre
01241,Meillonnas,Centre local d'équipements et de services
01242,Mérignat,Communes non centre
01243,Messimy-sur-Saône,Centre local d'équipements et de services
01244,Meximieux,Centre structurant d'équipements et de services
01245,Bohas-Meyriat-Rignat,Communes non centre
01246,Mézériat,Centre local d'équipements et de services
01247,Mijoux,Communes non centre
01248,Mionnay,Centre local d'équipements et de services
01249,Miribel,Centre structurant d'équipements et de services
01250,Misérieux,Centre local d'équipements et de services
01252,Mogneneins,Communes non centre
01254,Montagnat,Centre local d'équipements et de services
01255,Montagnieu,Communes non centre
01257,Montanges,Communes non centre
01258,Montceaux,Centre local d'équipements et de services
01259,Montcet,Communes non centre
01260,Le Montellier,Communes non centre
01261,Monthieux,Communes non centre
01262,Montluel,Centre intermédiaire d'équipements et de services
01263,Montmerle-sur-Saône,Centre local d'équipements et de services
01264,Montracol,Communes non centre
01265,Montréal-la-Cluse,Centre intermédiaire d'équipements et de services
01266,Montrevel-en-Bresse,Centre intermédiaire d'équipements et de services
01267,Nurieux-Volognat,Communes non centre
01268,Murs-et-Gélignieux,Communes non centre
01269,Nantua,Centre intermédiaire d'équipements et de services
01272,Neuville-les-Dames,Centre local d'équipements et de services
01273,Neuville-sur-Ain,Centre local d'équipements et de services
01274,Les Neyrolles,Communes non centre
01275,Neyron,Centre local d'équipements et de services
01276,Niévroz,Centre local d'équipements et de services
01277,Nivollet-Montgriffon,Communes non centre
01279,Oncieu,Communes non centre
01280,Ordonnaz,Communes non centre
01281,Ornex,Centre local d'équipements et de services
01282,Outriaz,Communes non centre
01283,Oyonnax,Centre structurant d'équipements et de services
01284,Ozan,Communes non centre
01285,Parcieux,Centre local d'équipements et de services
01286,Parves et Nattages,Communes non centre
01288,Péron,Centre local d'équipements et de services
01289,Péronnas,Centre intermédiaire d'équipements et de services
01290,Pérouges,Centre local d'équipements et de services
01291,Perrex,Communes non centre
01293,Peyriat,Communes non centre
01294,Peyrieu,Communes non centre
01295,Peyzieux-sur-Saône,Communes non centre
01296,Pirajoux,Communes non centre
01297,Pizay,Communes non centre
01298,Plagne,Communes non centre
01299,Le Plantay,Communes non centre
01301,Polliat,Centre local d'équipements et de services
01302,Pollieu,Communes non centre
01303,Poncin,Centre intermédiaire d'équipements et de services
01304,Pont-d'Ain,Centre intermédiaire d'équipements et de services
01305,Pont-de-Vaux,Centre intermédiaire d'équipements et de services
01306,Pont-de-Veyle,Centre intermédiaire d'équipements et de services
01307,Port,Centre local d'équipements et de services
01308,Pougny,Communes non centre
01309,Pouillat,Communes non centre
01310,Prémeyzel,Communes non centre
01311,Prémillieu,Communes non centre
01313,Prévessin-Moëns,Centre intermédiaire d'équipements et de services
01314,Priay,Centre local d'équipements et de services
01317,Ramasse,Communes non centre
01318,Rancé,Communes non centre
01319,Relevant,Communes non centre
01320,Replonges,Centre local d'équipements et de services
01321,Revonnas,Communes non centre
